group,year,bachelors_puma,bachelors_puma_se,black_puma,black_puma_se,hispanic_puma,hispanic_puma_se,inctot_puma,inctot_puma_se,owned_puma,owned_puma_se,age_puma,age_puma_se,immigrant_puma,immigrant_puma_se,poverty_100_puma,poverty_100_puma_se,poverty_200_puma,poverty_200_puma_se,hwsei_puma,hwsei_puma_se,unemployed_puma,unemployed_puma_se,valueh_puma,valueh_puma_se,rent_puma,rent_puma_se,costelec_puma,costelec_puma_se,density,density_se,state_policy,state_policy_se,lgbt_nonprofits,lgbt_nonprofits_se,immigrant_nonprofits,immigrant_nonprofits_se
"Different-sex, immigrant",2008,19.34945842427927,0.0271134526824176,12.682761259678955,0.04010528520466513,22.65474464281027,0.06841756270964584,27.173386547705128,0.02695010726762664,63.91932367063297,0.043226198858475874,36.526149385659515,0.008845833588825113,19.39911798862641,0.04470852684451641,11.965817109349528,0.018582396277338865,29.19733521183614,0.03486580177656645,36.1825430868123,0.010887865626904915,2.246860231661903,0.0022113779766801175,3834.506904375979,4.258968060589317,301.9452319534837,0.5363771624002152,2035.9198396501295,1.4563091233160599,8542.8254545703,57.52805656162507,1.9099072188022053,0.006824580766748928,0.16127387895880788,0.0047933887598730915,0.0717850172139102,0.001118172261981097
"Different-sex, immigrant",2009,19.51834564071974,0.026757035295775555,12.5231921538445,0.03919078507389967,22.99048033549616,0.06723321283349888,26.46744613985404,0.024822095946978262,62.8754633134997,0.04284642283955222,36.513376997321835,0.00864232182773986,19.296496839540495,0.04433518672223835,12.976270861162726,0.01922187446787268,30.983212038649146,0.034920664714718164,36.127521088592,0.010715556286501027,3.745408146074158,0.0029853540735923422,3913.4889090177912,4.2148726291552885,317.3989588572659,0.551863025000042,2054.4917022740347,1.3959348834362129,8475.706281536648,54.45822448665068,1.937991486237761,0.006654930126103111,0.21656026089304645,0.006629443790176783,0.3836070919123969,0.003969698402712474
"Different-sex, immigrant",2010,19.78794106201956,0.02584476331360151,12.773271184738213,0.03788275845647624,23.360856049880546,0.06553780281890825,25.329379454439184,0.02219745037338645,62.34456666299092,0.04043812689818981,36.83903347800068,0.008199798070743058,19.566411396624893,0.04350839349265401,14.065425064243529,0.019113730453578004,32.73134166675379,0.03393731603015653,36.115561789729874,0.010264663604862402,4.147689373176302,0.0031081072701798435,3957.0643002913253,3.980880817583606,325.88791594320566,0.5368779935473229,2102.6347702324756,1.3180797110651274,8414.72860564734,53.28297027683796,1.976272011988568,0.006498955718288031,0.27356047319008386,0.007843516752598633,0.5361156829301943,0.005119231415334982
"Different-sex, immigrant",2011,20.093815481826677,0.030205895894329336,12.770502273268768,0.03940109067677584,23.565851751859714,0.07032148394146083,24.800765191291564,0.026503739324139648,61.447967327556945,0.045540025999643005,37.02962697873616,0.008873921951569181,19.54906286030788,0.04669897351925236,14.700589437263323,0.021344486088318276,33.66085165169226,0.037526116962087304,36.10160668312618,0.011764540112267468,3.841269041844616,0.0035223869908976363,4037.579197857748,4.495154600072059,339.98649913729867,0.6362445916598303,2122.9435349875184,1.4550373630057367,8295.681227318852,59.6366089574772,2.2109482227793844,0.008184285171704025,0.23251880790871773,0.008189516414268258,0.5640467689444445,0.005639869107379929
"Different-sex, immigrant",2012,21.26906807857341,0.03566189126098553,12.583207325106283,0.042786970981727485,24.386777704555303,0.07264719364629645,25.47108143192284,0.03112528487683168,59.89913612784439,0.04832821810499485,37.1472650229814,0.009843397883722764,20.57422512849711,0.04733475036145257,14.545030943695151,0.023300395695329126,33.14959720856437,0.041362005784743236,36.36330771719421,0.01347779615688634,3.529258751555491,0.0037121557060670173,4194.481610693299,4.795426369984463,374.70725115774763,0.7357239411023168,2064.7752354907625,1.4335990509187206,8525.39215490497,60.42977579896165,2.451553640001361,0.00870650718731727,0.2517027465114695,0.004144115747723872,1.1328029776766968,0.006471028374564854
"Different-sex, immigrant",2013,21.512627879491486,0.03489836752442066,12.523683277094282,0.04185983333821817,24.577781886959638,0.07290985565282596,25.927737816987445,0.031068212900703992,59.787013022000274,0.04707637352090455,37.297360045890294,0.009635065815762704,20.447220177177634,0.0463897424250708,14.455932609517587,0.023069745466289173,32.8908465271957,0.04057341085892129,36.483358008402256,0.013130522171026757,3.1220865423007322,0.0033603364690993763,4211.567227825257,4.660780981104289,383.0608850147467,0.7142934178730658,2100.657987417869,1.356704600769035,8160.973685879587,55.01549738694551,3.090203178684563,0.010742370754369542,0.2822388218576094,0.004467068161155533,1.5263131799727312,0.011643036361410225
"Different-sex, immigrant",2014,22.018996514251036,0.036310575806990035,12.599697970577177,0.04223071870523628,24.76147668677791,0.07272594356744355,26.154460509196188,0.03386319871261114,59.25431272564602,0.047642434013533866,37.51829262214312,0.009590190558493503,20.673902729256355,0.04657384169144279,14.033734137971706,0.022958352853497465,32.12984789514521,0.040978891134070654,36.66259612715149,0.013385955331022537,2.642543307760779,0.0028505312387685795,4277.0131368948305,4.741223587160811,402.37414713608763,0.7626978333552937,2169.7876941190216,1.431583840035213,8287.0921810251,62.720321466311475,3.3044186871588246,0.010273464115643272,0.3270571406705532,0.005449609496964478,1.5609194735839094,0.010171766522513894
"Different-sex, immigrant",2015,22.58842782877349,0.03588874350128619,12.627380625209701,0.04158109302693478,24.901769375732083,0.07195851407411502,27.300161321819097,0.033232925571872775,59.39237586634836,0.04638323304636589,37.68457656740136,0.009311369395283008,20.911684679574357,0.046077342632153837,13.08241262033679,0.020548715465974077,30.815441492101982,0.03843861766573881,36.840088886310966,0.013194627959155892,2.2938718869967394,0.0026485508366464734,4278.020230191095,4.612602888266029,415.19991146430175,0.7701165317116768,2178.364363469879,1.359947062670653,8059.066037673588,54.17953641688309,4.047933298912404,0.007551206582216957,0.3575164506926977,0.005939124904289913,0.6427372006623244,0.003367479077851374
"Different-sex, immigrant",2016,23.135897337273605,0.03554276759710296,12.616754330619088,0.04085390793770847,24.8645435987692,0.07187767782147118,27.78777244380896,0.033288954129214364,59.59434475874106,0.04682056433692577,37.90756596368868,0.009475388257819658,20.863465382430544,0.046750225244639884,12.518135576037848,0.019626211581168108,29.59429327570125,0.0378941953460416,36.98429493172617,0.013126075742793758,2.0775298777633906,0.0022648422974927145,4268.414010712527,4.660016462533398,429.34344303278357,0.8104416091536947,2141.5979926281198,1.2790714091502342,8072.033538314583,57.77843886633543,4.042696388827711,0.007463607763886227,0.3819624452383277,0.005422184310349208,0.1516861574306512,0.001323378476990252
"Different-sex, immigrant",2017,23.97740255183862,0.036086696631009815,12.633887392943159,0.0396235262950486,24.915082280973337,0.07104300629481618,28.41533476013819,0.03450562314310286,60.621100467748505,0.04588448431596406,38.1149510983338,0.009218601405178394,20.905224819276714,0.045092488845940915,11.69618915894122,0.01797073225073215,28.383733112591905,0.03534549650441131,37.2780552564387,0.01298275334615365,1.9235925105594367,0.00218706872632656,4183.412514969522,4.58431692342692,436.70075739252775,0.8310154411553468,2157.6355739833652,1.2526450540877856,8035.2858189937515,56.86975356081936,4.001421108175057,0.008142667092759133,0.4077448548812442,0.00624860930679951,0.9873535754245168,0.004411394456870516
