group,bachelors_puma,bachelors_puma_se,black_puma,black_puma_se,hispanic_puma,hispanic_puma_se,inctot_puma,inctot_puma_se,owned_puma,owned_puma_se,age_puma,age_puma_se,immigrant_puma,immigrant_puma_se,poverty_100_puma,poverty_100_puma_se,poverty_200_puma,poverty_200_puma_se,hwsei_puma,hwsei_puma_se,unemployed_puma,unemployed_puma_se,valueh_puma,valueh_puma_se,rent_puma,rent_puma_se,costelec_puma,costelec_puma_se,density,density_se,state_policy,state_policy_se,lgbt_nonprofits,lgbt_nonprofits_se,immigrant_nonprofits,immigrant_nonprofits_se
"Different-sex, immigrant",22.727233901016866,0.009516014125310574,12.5963167198478,0.010953301115502601,24.486737597239678,0.01906931031447899,27.481359134417776,0.008763622033975649,61.24519492196287,0.012589077182611683,37.70968900817734,0.0025974476596431007,20.444316825745847,0.012355984444197962,12.621182301237702,0.005433974139019938,29.76630238799642,0.010136018942005963,36.96592934249912,0.003491177773492098,2.6344806423818996,0.0011017460308691267,4111.5020022485205,1.248871564878761,406.60951694551227,0.22619662876752844,2181.2970976174925,0.38322783289490914,8144.181310905882,15.27312745924105,3.3856332383890333,0.002349641749750969,0.30233841551430063,0.0015682275893167765,0.7893216297871719,0.001631170683337967
"Same-sex, immigrant",25.386603865476726,0.12803145818967543,12.878026887234434,0.11989156920133266,23.55651742368319,0.19720441273846057,29.522085307023655,0.12759700581390457,58.59136827275719,0.15758426640201817,38.437318157147864,0.029637988451275542,19.990859375036347,0.13244780463600417,12.375585061891679,0.054262721052201,28.78215884718636,0.1039630741947766,37.72547419159561,0.042782564574003645,2.502668824128553,0.011536070876707254,4398.6637451505085,15.897913888154598,481.65102092911616,3.3921246904785174,2237.351000253326,4.270880789910039,11628.141535844721,229.45520518915419,3.9335803424665405,0.0237149561664966,1.15870790148641,0.044855019928154764,1.0129825809485078,0.024942431990735342
"Same-sex, non-immigrant",23.53136214828789,0.0298044278027657,12.748103092780156,0.03144782935520363,16.616912808664598,0.04021748886328868,27.927635020542,0.027480113548475477,62.82320563375113,0.03584120156619739,38.48350563639278,0.006989854190148178,13.46902046798443,0.026628158196539187,12.22679282588501,0.01302125884139504,28.633595762863624,0.0240646982614952,37.292529305658014,0.009735989935915193,2.4399176384894026,0.003086136405946573,3938.4323085978795,3.627146123025169,363.8438183441344,0.7401665750091618,2200.9157404829252,0.9873371645088778,6088.9250941652745,44.585547145185636,3.1377148077803687,0.00695443387097868,0.7555514049279419,0.009420457580612655,0.8168517504309304,0.005676299041842762
