year,statefp,puma5ce,lgbt_nonprofits,state
2008,17,03521,1.2498681906873357,Illinois
2008,17,03522,0.15826006478482196,Illinois
2008,18,02302,1.5114006514657976,Indiana
2008,18,02303,0.4885993485342024,Indiana
2008,18,02305,2,Indiana
2008,19,01200,0.9999999999999997,Iowa
2008,19,01700,4.999999999999999,Iowa
2008,21,00800,1,Kentucky
2008,21,01702,2.0000000000000018,Kentucky
2008,21,01902,1,Kentucky
2008,22,00400,1.0000000000000004,Louisiana
2008,22,02401,1.0813148788927336,Louisiana
2008,22,02402,0.9186851211072663,Louisiana
2008,23,01000,4,Maine
2008,24,00801,0.001556420233463036,Maryland
2008,24,00802,0.10791180285343706,Maryland
2008,24,00804,1.7862516212710757,Maryland
2008,24,00805,0.10428015564202335,Maryland
2008,25,00503,3,Massachusetts
2008,25,00506,5.000000000000001,Massachusetts
2008,25,00507,0.028735632183908,Massachusetts
2008,25,00508,0.9712643678160916,Massachusetts
2008,25,03301,1.2522625637176725,Massachusetts
2008,25,03302,15.388561913777945,Massachusetts
2008,25,03304,0.34086465327757964,Massachusetts
2008,25,03305,0.94573638488762,Massachusetts
2008,25,03400,0.0725744843391902,Massachusetts
2008,25,04700,0.9992211838006227,Massachusetts
2008,25,04800,1.000778816199377,Massachusetts
2008,26,01002,1.7477375565610855,Michigan
2008,26,01003,0.2522624434389139,Michigan
2008,26,01802,1,Michigan
2008,26,02102,0.9999999999999994,Michigan
2008,26,02906,0.9999999999999989,Michigan
2008,26,02907,0,Michigan
2008,26,02908,2.0046260601387815,Michigan
2008,26,03208,1,Michigan
2008,26,03209,0.055512721665381605,Michigan
2008,26,03210,0.43253662297609863,Michigan
2008,26,03211,0.6133852358423857,Michigan
2008,26,03212,0.3920118343195261,Michigan
2008,26,03213,0.5019275250578255,Michigan
2008,27,00500,1.9999999999999991,Minnesota
2008,27,01304,1.9999999999999998,Minnesota
2008,27,01404,0.10788973384030466,Minnesota
2008,27,01405,1.5122054904496944,Minnesota
2008,27,01406,4.078626777225582,Minnesota
2008,27,01407,5.492342637267686,Minnesota
2008,27,01408,0.8089353612167303,Minnesota
2008,27,01410,1,Minnesota
2008,29,00300,1,Missouri
2008,29,00500,1.0142980935875217,Missouri
2008,29,00600,0.9857019064124778,Missouri
2008,29,01001,2,Missouri
2008,29,01803,1.0266524520255855,Missouri
2008,29,01805,1.7878464818763335,Missouri
2008,29,01901,0.22887258819300726,Missouri
2008,29,01902,0.9566284779050737,Missouri
2008,29,02800,0.9999999999999997,Missouri
2008,32,00405,0.6761619190404796,Nevada
2008,32,00409,0.10869565217391308,Nevada
2008,32,00410,0.21514242878560708,Nevada
2008,32,00413,1,Nevada
2008,33,00800,1,New Hampshire
2008,33,01000,1,New Hampshire
2008,34,00306,1.9999999999999998,New Jersey
2008,34,00601,1.6389233954451337,New Jersey
2008,34,00602,0.3610766045548655,New Jersey
2008,34,00800,0.0940214614205417,New Jersey
2008,34,00906,1,New Jersey
2008,34,01001,0.2595809913132345,New Jersey
2008,34,01003,0.6463975472662239,New Jersey
2008,34,01402,0.001182033096926714,New Jersey
2008,34,01403,1.998817966903075,New Jersey
2008,34,02301,0.7940170940170951,New Jersey
2008,34,02302,1.2042735042735035,New Jersey
2008,34,02303,0.00170940170940171,New Jersey
2008,34,02600,0.9999999999999997,New Jersey
2008,35,00803,2,New Mexico
2008,35,00804,1.9999999999999991,New Mexico
2008,36,00300,1.0000000000000002,New York
2008,36,00701,3.994949494949495,New York
2008,36,00703,0.005050505050505052,New York
2008,36,00902,6.087612125399469,New York
2008,36,00903,3.7004313528614015,New York
2008,36,00906,0.2119565217391304,New York
2008,36,01205,1.8205550445548473,New York
2008,36,01206,3.1794449554451516,New York
2008,36,02001,2.9999999999999982,New York
2008,36,02702,2,New York
2008,36,03105,0.9999999999999997,New York
2008,36,03207,0.13470319634703193,New York
2008,36,03209,0.8652968036529685,New York
2008,36,03305,1,New York
2008,36,03306,0.00248756218905473,New York
2008,36,03309,0.997512437810945,New York
2008,36,03310,0.31252583712277776,New York
2008,36,03311,2.687474162877221,New York
2008,36,03710,2,New York
2008,36,03802,0.5916982222731985,New York
2008,36,03803,0.9564459930313596,New York
2008,36,03806,2.706645056726093,New York
2008,36,03807,22.627323062102004,New York
2008,36,03808,1.5411732867970382,New York
2008,36,03809,1.079945402258513,New York
2008,36,03810,18.496768976811776,New York
2008,36,03902,0.001712328767123288,New York
2008,36,03903,0.9982876712328768,New York
2008,36,04004,3.825277123156149,New York
2008,36,04005,2.7580372779545415,New York
2008,36,04006,0.2087719298245614,New York
2008,36,04012,0.20791366906474829,New York
2008,36,04018,1.0000000000000002,New York
2008,36,04102,1.612366230677764,New York
2008,36,04107,0.28775267538644483,New York
2008,36,04109,0.0998810939357907,New York
2008,37,01201,4.3161705551086085,North Carolina
2008,37,01205,0.325020112630732,North Carolina
2008,37,01207,0.3588093322606597,North Carolina
2008,37,01701,2,North Carolina
2008,37,02300,1,North Carolina
2008,37,03101,1.8933231005372217,North Carolina
2008,37,03103,1.1066768994627783,North Carolina
2008,37,03105,1,North Carolina
2008,39,00904,0.0203562340966922,Ohio
2008,39,00905,1.541670199281336,Ohio
