state,year,same_sex,coef,_se
Alabama,2008,TRUE,0.00572713782229658,0.00364675827875363
Alabama,2009,TRUE,0.00391305282634947,0.00281868444992874
Alabama,2010,TRUE,0.0058375383397645,0.0034063904994554
Alabama,2011,TRUE,0.00212799086520998,0.00212928552270577
Alabama,2012,TRUE,0.01072669073078655,0.00753426910077774
Alabama,2013,TRUE,0.00268749476351528,0.00193076629198806
Alabama,2014,FALSE,0,0
Alabama,2015,FALSE,0,0
Alabama,2016,TRUE,0.00496446105371174,0.00305136028449485
Alabama,2017,TRUE,0.01338810284497218,0.01091271599347814
Alabama,2018,TRUE,0.00422120750888776,0.00247949946968164
Alabama,2019,TRUE,0.00625331953136869,0.00365546029061934
Alabama,2021,TRUE,0.00863043767851712,0.00408080466672994
Alabama,2022,TRUE,0.00698984620765432,0.00362097227845439
Alaska,2008,TRUE,0.01612433220009722,0.01255106254895624
Alaska,2009,TRUE,0.0032189531972207,0.00322921579135048
Alaska,2010,FALSE,0,0
Alaska,2011,FALSE,0,0
Alaska,2012,TRUE,0.00869628233977173,0.0086862965944601
Alaska,2013,FALSE,0,0
Alaska,2014,TRUE,0.00275963054798649,0.0027780860409625
Alaska,2015,FALSE,0,0
Alaska,2016,TRUE,0.01365659070952107,0.00970115024324129
Alaska,2017,FALSE,0,0
Alaska,2018,TRUE,0.0100872578748966,0.0100627257239838
Alaska,2019,TRUE,0.02623211446741027,0.02580672530010756
Alaska,2021,FALSE,0,0
Alaska,2022,TRUE,0.00627721542678914,0.00628963395540243
Arizona,2008,TRUE,0.00384404173551806,0.00121902968850205
Arizona,2009,TRUE,0.00805206181900176,0.00226109394223918
Arizona,2010,TRUE,0.00493193767174625,0.00176687559501252
Arizona,2011,TRUE,0.0060623488351939,0.00183527450204186
Arizona,2012,TRUE,0.0016291791317422,6.936124059600733e-4
Arizona,2013,TRUE,0.00369239954939054,9.813352939751895e-4
Arizona,2014,TRUE,0.00338404035219505,0.00122368254520778
Arizona,2015,TRUE,0.00482731183942542,0.00133450422075964
Arizona,2016,TRUE,0.0097898544232086,0.00222995639722
Arizona,2017,TRUE,0.00784495572282791,0.00201170053659347
Arizona,2018,TRUE,0.00824155867509404,0.00206969612653074
Arizona,2019,TRUE,0.00625634929613005,0.00180741433309831
Arizona,2021,TRUE,0.01135211399748511,0.00264430838908676
Arizona,2022,TRUE,0.00583991365108216,0.00187949571566196
Arkansas,2008,TRUE,0.01144513069697835,0.00717656739501922
Arkansas,2009,FALSE,0,0
Arkansas,2010,TRUE,0.012363996043525,0.00868386470587484
Arkansas,2011,FALSE,0,0
Arkansas,2012,TRUE,0.00290213723420113,0.00290108503434632
Arkansas,2013,FALSE,0,0
Arkansas,2014,TRUE,0.0088375829849515,0.00478573192558347
Arkansas,2015,TRUE,0.00146886016451517,0.00147041361004171
Arkansas,2016,TRUE,0.00236945437549392,0.00236951518596021
Arkansas,2017,TRUE,2.564157353789683e-4,2.569289172873504e-4
Arkansas,2018,TRUE,0.00559229440835047,0.00269188624474482
Arkansas,2019,TRUE,9.16498978961924e-4,9.177836577486648e-4
Arkansas,2021,TRUE,0.00549896513940186,0.00330141860372894
Arkansas,2022,TRUE,0.00838150867452418,0.00406591317744432
California,2008,TRUE,0.00460308215290471,4.3862979245275566e-4
California,2009,TRUE,0.0046832928932131,4.3743903182645344e-4
California,2010,TRUE,0.00465810723549693,4.1232825019241545e-4
California,2011,TRUE,0.00486759783546811,5.015769511528621e-4
California,2012,TRUE,0.0047935291944063,4.630153962425611e-4
California,2013,TRUE,0.00643946973890867,5.452410281984325e-4
California,2014,TRUE,0.00700941704137846,5.389417253335034e-4
California,2015,TRUE,0.00839632330331996,6.107055945173696e-4
California,2016,TRUE,0.00921958052731134,6.426077404793553e-4
California,2017,TRUE,0.00801372203004561,5.665086846185247e-4
California,2018,TRUE,0.01015522775039848,6.715289471680053e-4
California,2019,TRUE,0.01115741683392677,7.331641416015192e-4
California,2021,TRUE,0.013363272069961,8.907208402169445e-4
California,2022,TRUE,0.01108164499189479,7.90999016274746e-4
Colorado,2008,TRUE,0.01059328939574684,0.00311495995117544
Colorado,2009,TRUE,0.00558584238209986,0.00245172618291026
Colorado,2010,TRUE,9.288501018604828e-4,9.284786670682518e-4
Colorado,2011,TRUE,0.00273273480325065,0.00135977996762124
Colorado,2012,TRUE,0.00480437536848321,0.00202984432617252
Colorado,2013,TRUE,0.00582730214591759,0.00169829658586062
Colorado,2014,TRUE,0.00791439014184232,0.00256202818844127
Colorado,2015,TRUE,0.00676229167967971,0.00221010777745601
Colorado,2016,TRUE,0.00726519421522308,0.0023797688893907
Colorado,2017,TRUE,0.00788304341560054,0.00287920058003467
Colorado,2018,TRUE,0.00632561721010091,0.00178151100222648
Colorado,2019,TRUE,0.01862148253427959,0.00415082013600351
Colorado,2021,TRUE,0.00312951652969972,0.0016186247756837999
Colorado,2022,TRUE,0.01025841260846679,0.00288419613690026
Connecticut,2008,TRUE,5.264162241715223e-4,5.264032482036086e-4
Connecticut,2009,TRUE,0.01082105350852181,0.00452182651473268
Connecticut,2010,TRUE,0.00291148032660401,0.0014123359061013
Connecticut,2011,TRUE,0.00502577990729775,0.00202170584697645
Connecticut,2012,TRUE,0.00366409639528585,0.00140690284770191
Connecticut,2013,TRUE,0.00614521282271776,0.00216180734081673
Connecticut,2014,TRUE,0.00444912847569585,0.00228159564938323
Connecticut,2015,TRUE,0.0053769635518688,0.00156650728158759
Connecticut,2016,TRUE,0.00160198193155644,9.938206573022496e-4
Connecticut,2017,TRUE,0.00975050702735442,0.00261520425656165
Connecticut,2018,TRUE,0.00596089102061522,0.00167687847031459
Connecticut,2019,TRUE,0.00892808798377155,0.00254391539866286
Connecticut,2021,TRUE,0.01531773075403008,0.00377456320640487
Connecticut,2022,TRUE,0.00874884337228406,0.00235393810889956
Delaware,2008,TRUE,0.00384436652454747,0.00306500562270267
Delaware,2009,TRUE,0.00976313778835388,0.00572943639222795
Delaware,2010,TRUE,0.0094072311020437591,0.00553234330979634
Delaware,2011,TRUE,0.00353599505670968,0.00353561002770792
Delaware,2012,FALSE,0,0
Delaware,2013,FALSE,0,0
Delaware,2014,TRUE,0.03324403312226538,0.01486713458044482
Delaware,2015,TRUE,0.00155922038980996,0.00156084647967935
Delaware,2016,TRUE,0.00866414618919453,0.00739990866528748
Delaware,2017,TRUE,0.01410129772812507,0.00828144737720743
Delaware,2018,FALSE,0,0
Delaware,2019,FALSE,0,0
Delaware,2021,TRUE,0.00690622938827612,0.00449805942374245
Delaware,2022,TRUE,0.00794962123335567,0.00453928405931557
District of Columbia,2008,TRUE,0.02706559482594201,0.01034704263124391
District of Columbia,2009,TRUE,0.03882822902796361,0.01257221568305672
District of Columbia,2010,TRUE,0.00403171616737073,0.00402696270512005
District of Columbia,2011,TRUE,0.0491237249494021,0.02448138265607861
District of Columbia,2012,TRUE,0.03764809126810084,0.01362917070089784
District of Columbia,2013,TRUE,0.03472412309858377,0.01486765897676156
District of Columbia,2014,TRUE,0.0245637648485652,0.01007715112943423
District of Columbia,2015,TRUE,0.03239412856420731,0.01354417738536185
District of Columbia,2016,TRUE,0.06424166731774904,0.01810928798901358
District of Columbia,2017,TRUE,0.10475480053467114,0.02016493838424224
District of Columbia,2018,TRUE,0.08166588114315335,0.02120393799339153
District of Columbia,2019,TRUE,0.09173451553774722,0.01969451663211491
District of Columbia,2021,TRUE,0.05566905009531208,0.01454695615114776
District of Columbia,2022,TRUE,0.0763335724263286,0.0180978911456169
Florida,2008,TRUE,0.00552111028117471,9.50537269723956e-4
Florida,2009,TRUE,0.00606379847243092,8.533260788103551e-4
Florida,2010,TRUE,0.00596015045237374,7.921973017055666e-4
Florida,2011,TRUE,0.00702803244672434,0.00116830422212979
Florida,2012,TRUE,0.00623705512039641,0.00110502590840248
Florida,2013,TRUE,0.00726468802953928,8.864197344800017e-4
Florida,2014,TRUE,0.00786928190959678,9.004613011721857e-4
Florida,2015,TRUE,0.00738521455578846,8.737306396739996e-4
Florida,2016,TRUE,0.01100730322426239,0.00105481856638515
Florida,2017,TRUE,0.01265690322736444,0.00115942467512283
Florida,2018,TRUE,0.01291051502418826,0.00115362297264049
Florida,2019,TRUE,0.01569662616811421,0.00151352031547001
Florida,2021,TRUE,0.02007894168860264,0.00183927422306879
Florida,2022,TRUE,0.01871980899486723,0.00146118233776777
Georgia,2008,TRUE,0.00158247359120066,6.788739666683063e-4
Georgia,2009,TRUE,0.00506159226025087,0.00128999270420199
Georgia,2010,TRUE,0.00154307092849803,6.623789536458177e-4
Georgia,2011,TRUE,0.00299836395793588,0.00109252191815957
Georgia,2012,TRUE,0.00510253170240513,0.00127215054052778
Georgia,2013,TRUE,0.00433200762178708,0.00111220887399492
