year,statefp,puma5ce,immigrant_nonprofits,state
2008,12,10305,0.356536502546689,Florida
2008,12,12100,1,Florida
2008,13,01003,0.9994858611825197,Georgia
2008,13,01700,1,Georgia
2008,13,03001,0.47016011644832667,Georgia
2008,13,03002,0.00291120815138282,Georgia
2008,13,03003,1.4234803995382226,Georgia
2008,13,03004,0.0926724137931034,Georgia
2008,13,03101,0.951059535822402,Georgia
2008,13,03102,0.04894046417759836,Georgia
2008,13,04300,1.9999999999999996,Georgia
2008,13,04400,0.0107758620689655,Georgia
2008,13,04600,5.1413881748072e-4,Georgia
2008,15,00303,0.0439921208141825,Hawaii
2008,15,00304,0.9560078791858173,Hawaii
2008,15,00305,1.0000000000000002,Hawaii
2008,17,02100,0.9999999999999998,Illinois
2008,17,02601,1,Illinois
2008,17,03005,0.9322210636079251,Illinois
2008,17,03007,0.6270718232044196,Illinois
2008,17,03008,0.00318471337579618,Illinois
2008,17,03009,0.440707113187655,Illinois
2008,17,03106,0.18439716312056728,Illinois
2008,17,03202,0,Illinois
2008,17,03203,1.0592828217390562,Illinois
2008,17,03209,0.756320015140375,Illinois
2008,17,03308,0.8731924360400442,Illinois
2008,17,03310,0.1268075639599555,Illinois
2008,17,03401,0.898089171974523,Illinois
2008,17,03410,0.8924870466321241,Illinois
2008,17,03411,0.8370607028754001,Illinois
2008,17,03412,0.2086844123668108,Illinois
2008,17,03413,0.0596379126730564,Illinois
2008,17,03417,0.0987261146496815,Illinois
2008,17,03501,0.9966555183946489,Illinois
2008,17,03503,0.00334448160535117,Illinois
2008,17,03524,0.15164835164835164,Illinois
2008,17,03525,0.2835164835164833,Illinois
2008,17,03526,0.3749450549450549,Illinois
2008,17,03529,0.18989010989010988,Illinois
2008,17,03530,0.00212992545260916,Illinois
2008,17,03601,0.9993838570548367,Illinois
2008,17,03602,6.16142945163278e-4,Illinois
2008,18,00103,1.0000000000000002,Indiana
2008,18,01001,0.648790746582544,Indiana
2008,18,01002,0.351209253417455,Indiana
2008,18,01500,1.0000000000000007,Indiana
2008,18,01802,1,Indiana
2008,18,02200,0.15336134453781483,Indiana
2008,18,02301,0.00840336134453781,Indiana
2008,18,02304,0.8382352941176471,Indiana
2008,19,01700,0.9999999999999997,Iowa
2008,19,02000,1,Iowa
2008,20,01302,1,Kansas
2008,21,01702,1,Kentucky
2008,22,01502,0.9999999999999998,Louisiana
2008,22,02302,1,Louisiana
2008,23,00100,0.9999999999999998,Maine
2008,23,00300,0.9999999999999997,Maine
2008,24,00504,0.062499999999999924,Maryland
2008,24,00802,0.010623768038352025,Maryland
2008,24,00803,0.9353448275862073,Maryland
