bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
Canada,Illinois,2012,974,0,16430,15000,2011.4037884538916
Canada,Illinois,2013,319,0,19334,15000,2012.4459931622648
Canada,Illinois,2015,484,0,16250,15000,2014.475281210943
Canada,Illinois,2016,163,131,15263,15000,2015.4737836445274
Canada,Illinois,2017,271,0,17896,15000,2016.4975922526405
Canada,Illinois,2018,486,0,19222,15000,2017.4850823729805
Canada,Illinois,2019,415,0,16316,15000,2018.4991384615385
Canada,Indiana,2008,261,0,8560,15000,2007.3851584436422
Canada,Indiana,2010,105,0,6006,15000,2009.4210251046024
Canada,Indiana,2011,15,0,6006,15000,2010.4264075692647
Canada,Indiana,2012,202,0,7388,15000,2011.4037884538916
Canada,Indiana,2016,63,0,6008,15000,2015.4737836445274
Canada,Indiana,2017,79,0,6436,15000,2016.4975922526405
Canada,Indiana,2018,1023,0,8706,15000,2017.4850823729805
Canada,Indiana,2019,73,0,6755,15000,2018.4991384615385
Canada,Michigan,2008,333,0,41802,15000,2007.3851584436422
Canada,Michigan,2009,104,0,36923,15000,2008.3995349918623
Canada,Michigan,2010,1221,0,36972,15000,2009.4210251046024
Canada,Michigan,2011,60,0,39953,15000,2010.4264075692647
Canada,Michigan,2012,773,0,39374,15000,2011.4037884538916
Canada,Michigan,2013,1774,0,44084,15000,2012.4459931622648
Canada,Michigan,2014,138,0,37739,15000,2013.3600231127987
Canada,Michigan,2015,259,0,35367,15000,2014.475281210943
Canada,Michigan,2016,494,0,36260,15000,2015.4737836445274
Canada,Michigan,2017,269,186,36607,15000,2016.4975922526405
Canada,Michigan,2018,281,0,35335,15000,2017.4850823729805
Canada,Michigan,2019,1716,137,36201,15000,2018.4991384615385
Canada,Ohio,2008,48,0,16203,15000,2007.3851584436422
Canada,Ohio,2009,69,0,14719,15000,2008.3995349918623
Canada,Ohio,2010,345,0,14363,15000,2009.4210251046024
Canada,Ohio,2011,721,0,15368,15000,2010.4264075692647
Canada,Ohio,2012,78,0,13151,15000,2011.4037884538916
Canada,Ohio,2013,235,0,15433,15000,2012.4459931622648
Canada,Ohio,2014,281,0,13218,15000,2013.3600231127987
Canada,Ohio,2015,401,0,16091,15000,2014.475281210943
Canada,Ohio,2016,642,0,14363,15000,2015.4737836445274
Canada,Ohio,2018,244,0,14751,15000,2017.4850823729805
Canada,Ohio,2019,311,0,11796,15000,2018.4991384615385
Canada,Wisconsin,2008,60,0,8091,15000,2007.3851584436422
Canada,Wisconsin,2010,227,0,6094,15000,2009.4210251046024
Canada,Wisconsin,2012,34,0,5454,15000,2011.4037884538916
Canada,Wisconsin,2013,109,0,6680,15000,2012.4459931622648
Canada,Wisconsin,2014,109,0,6853,15000,2013.3600231127987
Canada,Wisconsin,2015,1120,0,8838,15000,2014.475281210943
Canada,Wisconsin,2016,60,0,7676,15000,2015.4737836445274
Canada,Wisconsin,2017,50,0,8170,15000,2016.4975922526405
Canada,Wisconsin,2019,141,0,4497,15000,2018.4991384615385
Canada,Iowa,2009,28,0,2436,15000,2008.3995349918623
Canada,Iowa,2014,288,0,3507,15000,2013.3600231127987
Canada,Iowa,2015,200,0,2539,15000,2014.475281210943
Canada,Kansas,2008,79,0,3617,15000,2007.3851584436422
Canada,Kansas,2012,22,0,2588,15000,2011.4037884538916
Canada,Kansas,2015,355,0,4166,15000,2014.475281210943
Canada,Minnesota,2008,38,0,12498,15000,2007.3851584436422
Canada,Minnesota,2009,256,0,9825,15000,2008.3995349918623
Canada,Minnesota,2010,40,0,12386,15000,2009.4210251046024
Canada,Minnesota,2012,507,0,14477,15000,2011.4037884538916
Canada,Minnesota,2014,22,0,11389,15000,2013.3600231127987
Canada,Minnesota,2017,234,0,11977,15000,2016.4975922526405
Canada,Minnesota,2018,342,0,10996,15000,2017.4850823729805
Canada,Missouri,2008,262,0,6189,15000,2007.3851584436422
Canada,Missouri,2009,112,0,4940,15000,2008.3995349918623
Canada,Missouri,2010,104,0,7312,15000,2009.4210251046024
Canada,Missouri,2013,486,0,6141,15000,2012.4459931622648
Canada,Missouri,2014,65,0,7301,15000,2013.3600231127987
Canada,Missouri,2015,12,0,5452,15000,2014.475281210943
Canada,Missouri,2016,188,0,6633,15000,2015.4737836445274
Canada,Missouri,2019,442,0,4303,15000,2018.4991384615385
Canada,Nebraska,2016,39,0,1448,15000,2015.4737836445274
Canada,Nebraska,2017,37,0,1725,15000,2016.4975922526405
Canada,North Dakota,2008,105,0,2236,15000,2007.3851584436422
Canada,North Dakota,2009,93,0,4699,15000,2008.3995349918623
Canada,North Dakota,2011,48,0,2015,15000,2010.4264075692647
Canada,North Dakota,2015,202,0,2516,15000,2014.475281210943
Canada,North Dakota,2016,172,0,1367,15000,2015.4737836445274
Canada,North Dakota,2017,296,0,3983,15000,2016.4975922526405
Canada,South Dakota,2012,197,0,529,15000,2011.4037884538916
Canada,Virginia,2008,437,0,13137,15000,2007.3851584436422
Canada,Virginia,2009,426,0,16755,15000,2008.3995349918623
Canada,Virginia,2011,459,0,13697,15000,2010.4264075692647
Canada,Virginia,2012,88,0,17255,15000,2011.4037884538916
Canada,Virginia,2013,290,0,15193,15000,2012.4459931622648
Canada,Virginia,2014,744,0,15038,15000,2013.3600231127987
Canada,Virginia,2016,454,0,13023,15000,2015.4737836445274
Canada,Virginia,2017,98,0,12640,15000,2016.4975922526405
Canada,Virginia,2018,330,0,13482,15000,2017.4850823729805
Canada,Virginia,2019,818,68,12682,15000,2018.4991384615385
Canada,Alabama,2008,52,0,3520,15000,2007.3851584436422
Canada,Alabama,2012,148,0,3443,15000,2011.4037884538916
Canada,Alabama,2014,83,0,3715,15000,2013.3600231127987
Canada,Alabama,2016,78,0,3372,15000,2015.4737836445274
Canada,Alabama,2017,133,0,3647,15000,2016.4975922526405
Canada,Arkansas,2011,283,0,2301,15000,2010.4264075692647
