yrimmig,bpld,n_dif_sex,n_same_sex,n_spouse_dif_sex,n_spouse_same_sex,n_partner_dif_sex,n_partner_same_sex,n_spouse_oneimm_dif_sex,n_spouse_oneimm_same_sex,n_partner_oneimm_dif_sex,n_partner_oneimm_same_sex,n_spouse_twoimm_dif_sex,n_spouse_twoimm_same_sex,n_partner_twoimm_dif_sex,n_partner_twoimm_same_sex,n_spouse_adj_dif_sex,n_spouse_adj_same_sex,n_partner_adj_dif_sex,n_partner_adj_same_sex,n_spouse_2019_dif_sex,n_spouse_2019_same_sex,n_spouse_pre_2019_dif_sex,n_spouse_pre_2019_same_sex,n_partner_2019_dif_sex,n_partner_2019_same_sex,n_partner_pre_2019_dif_sex,n_partner_pre_2019_same_sex,n_total,n_spouse,n_partner,bpldid.x,prop_spouse_same_sex_adj,prop_partner_same_sex_adj,prop_same_sex_adj,prop_dif_sex,prop_spouse_same_sex,prop_partner_same_sex,prop_same_sex,prop_same_sex_oneimm,prop_same_sex_twoimm,Country,origin_score,iso_o,pc_income,rgdpe,pop,wage_dif,unemployment,unemp_dif,country,vdem,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,stock_prop,bpldid.y,prop_same_std,prop_dif_std,origin_std,yr_fac
1991,Canada,70910,1228,67992,214,2918,1014,37983,214,2255,926,30009,0,663,88,41162.676999999996,119.493,2749.1290000000004,936.1500000000001,4867,0,63125,214,337,0,2581,1014,140358,46539,4362,15000,0.0851344419270722,0.6669730261189245,0.7521074680459967,50.520811068838256,0.15246726228643895,0.7224383362544351,0.874905598540874,0.8122087804043945,0.06269681813647958,Canada,0,CAN,32.025577642072214,893155.25,27.88881,4.485866086160935,10.31599998,-3.515999789000001,Canada,0.758,1,1,1,0,0,0,0,0,548.39459228515625,737.04254150390625,2079.2967214117525,1154.5305501361925,0.03120386857796399,15000,NA,NA,-0.6015588776693215,1991
1991,Mexico,844883,4303,781773,2295,63110,2008,113570,1278,8420,543,668203,1017,54690,1465,450836.401,1546.839,56157.237,1813.734,46861,493,734912,1802,3090,90,60020,1918,2932962,805129,98344,20000,0.05273982410955205,0.061839669249039025,0.11457949335859108,28.806476183462316,0.07824854191769276,0.06846321227482662,0.14671175419251936,0.0620874051556072,0.08462434903691217,Mexico,2,MEX,12.281806628712582,1050249.5,85.512623,17.895462354894853,3.046999931,3.7530002599999994,Mexico,0.206,1,0,1,0,0,0,0,0,3369.052734375,3037.916015625,2468.4048876533507,1623.7202149402929,0.19587996471456964,20000,NA,NA,0.2465060825839362,1991
1991,Costa Rica,8060,0,8032,0,28,0,3426,0,0,0,4606,0,28,0,5126.8189999999995,0,27.328,0,1345,0,6687,0,0,0,28,0,18514,5994,122,21020,0,0,0,43.53462244787728,0,0,0,0,0,Costa Rica,1,CRI,8.015728180232568,25667.04297,3.202085,20.792902241437044,5.373000145,1.4270000459999999,Costa Rica,0.845,0,0,1,0,0,0,0,0,3564.900390625,3290.808837890625,3556.189467292404,3428.1254866729446,0.0019087761110088766,21020,NA,NA,-0.17752639754269264,1991
1991,El Salvador,89052,169,76336,169,12716,0,8366,94,1135,0,67970,75,11581,0,45332.872,130.975,11253.003,0,7201,0,69135,169,459,0,12257,0,296732,68290,11344,21030,0.04413915587129127,0,0.04413915587129127,30.010918943693298,0.05695374951134356,0,0.05695374951134356,0.03167841688796624,0.025275332623377323,El Salvador,2,SLV,1.2284251227678196,6562.490234,5.342198,25.402710250887736,7.53000021,-0.7300000190000002,El Salvador,0.091,0,0,1,0,0,0,0,0,3355.770751953125,3049.3779296875,3106.6797702970503,2951.927373317415,0.020583232262074903,21030,NA,NA,0.2465060825839362,1991
1991,Guatemala,62383,563,55873,420,6510,143,7325,363,379,0,48548,57,6131,143,32241.600000000006,253.02,5847.384999999999,137.834,3309,57,52564,363,761,61,5749,82,194356,49205,5998,21040,0.1301837864537241,0.07091831484492375,0.20110210129864786,32.097285393813415,0.21609829385251805,0.07357632385930972,0.2896746177118278,0.18677066825824776,0.10290394945358004,Guatemala,2,GTM,3.9718264206333895,37665.90234,9.48327,23.539443918300844,2.630000114,4.170000076999999,Guatemala,0.218,0,0,1,0,0,0,0,0,3318.143310546875,3004.98974609375,2999.7364953273773,2831.7232646539305,0.010283124399517923,21040,NA,NA,0.2465060825839362,1991
1991,Honduras,36260,350,30694,110,5566,240,6487,0,905,105,24207,110,4661,135,17373.393,110,4924.794,222.45,1728,110,28966,0,0,105,5566,135,124325,23658,5399,21050,0.08847778001206515,0.1789262014880354,0.26740398150010053,29.165493665795296,0.08847778001206515,0.19304242911723307,0.2815202091292982,0.08445606273878946,0.19706414639050876,Honduras,1,HND,3.1120008135580988,15866.81934,5.098591,24.123421226617328,4.579999924,2.2200002669999996,Honduras,0.27,0,0,1,0,0,0,0,0,3234.232421875,2935.833251953125,3002.8998965780256,2837.067004010316,0.005143164988992281,21050,NA,NA,-0.17752639754269264,1991
1991,Nicaragua,12821,33,12175,33,646,0,1332,0,0,0,10843,33,646,0,6981.287,33,590.058,0,501,33,11674,0,59,0,587,0,50952,9941,1222,21060,0.06476683937823835,0,0.06476683937823835,25.16289841419375,0.06476683937823835,0,0.06476683937823835,0,0.06476683937823835,Nicaragua,0,NIC,3.291318334001942,14045.9248,4.267568,24.00163215443677,7.256000042,-0.4559998510000005,Nicaragua,0.477,0,0,1,0,0,0,0,0,3408.012451171875,3117.8583984375,3287.267744521141,3145.3674425615027,0.0071886018167589445,21060,NA,NA,-0.6015588776693215,1991
1991,Panama,6435,462,6435,319,0,143,3599,190,0,81,2836,129,0,62,3591.434,271.12,0,141.05599999999998,178,229,6257,90,0,62,0,81,21969,7394,230,21070,1.2341025991169376,0.6420683690655014,1.876170968182439,29.291274068004913,1.4520460649096454,0.6509172015112203,2.1029632664208657,1.2335563748918932,0.8694068915289727,Panama,-1,PAN,7.204182265752137,18177.00195,2.523118,21.344088894653364,3.546999931,3.2530002599999994,Panama,0.522,0,0,1,0,0,0,0,0,3580.7890625,3339.085693359375,3774.6040366659163,3643.187440122259,0.0036299630947274346,21070,NA,NA,-1.0255913577959503,1991
1991,Dominican Republic,63616,249,55752,0,7864,249,8351,0,1664,0,47401,0,6200,249,33046.413,0,7065.081,224.335,4573,0,51179,0,647,0,7217,249,271422,47391,8428,26010,0,0.08265173788418036,0.08265173788418036,23.43804113152213,0,0.09173906315626588,0.09173906315626588,0,0.09173906315626588,Dominican Republic,2,DOM,4.985576422179275,36247.17969,7.270409,22.850924069232484,6.21600008,0.5840001109999999,Dominican Republic,0.238,0,0,1,0,0,0,0,0,2508.954833984375,2371.68798828125,3310.5666522559163,3021.30273903299,0.015657205229256226,26010,NA,NA,0.2465060825839362,1991
1991,Haiti,43343,410,40741,64,2602,346,2637,64,645,0,38104,0,1957,346,23380.606000000003,29.951999999999998,2325.646,308.323,1957,0,38784,64,82,0,2520,346,142296,30905,2707,26020,0.021049080789340528,0.21667720807331195,0.23772628886265249,30.459745881823803,0.044976668353291734,0.2431551132849834,0.28813178163827513,0.044976668353291734,0.2431551132849834,Haiti,2,HTI,1.3266776222740704,9523.697266,7.178607,25.3359790094303,7.011000156,-0.21099996500000007,Haiti,0.159,0,0,0,0,0,0,0,0,2475.965087890625,2305.789306640625,3185.808058437824,2915.1321711533583,0.010051473727516342,26020,NA,NA,0.2465060825839362,1991
1991,Jamaica,44029,151,39929,82,4100,69,8652,28,1400,0,31277,54,2700,69,23958.556,63.550000000000004,3634.424,64.653,4298,0,35631,82,80,0,4020,69,183006,34736,4676,26030,0.034725637410795276,0.03532834989016754,0.07005398730096282,24.0587740292668,0.044807274078445515,0.037703681846496834,0.08251095592494234,0.015300044807274078,0.06721091111766828,Jamaica,-1,JAM,5.199733501029379,12683.88672,2.439334,22.70547262717878,15.73999977,-8.939999579000002,Jamaica,0.454,0,1,1,0,0,0,0,0,2549.896484375,2326.270751953125,3022.9666049100874,2795.319433599316,0.014659590346713823,26030,NA,NA,-1.0255913577959503,1991
1991,Barbados,3132,0,2946,0,186,0,916,0,48,0,2030,0,138,0,1818.994,0,169.064,0,174,0,2772,0,0,0,186,0,11125,3026,542,26044,0,0,0,28.152808988764043,0,0,0,0,0,Barbados,0,BRB,16.368372104388996,4286.958496,0.261905,15.119944288083431,21.00399971,-14.203999519,Barbados,0.652,0,1,1,0,0,0,0,0,3381.50732421875,3340.14453125,4439.89175931263,4166.68150084925,0.0018190591276394093,26044,NA,NA,-0.6015588776693215,1991
1991,Trinidad and Tobago,15188,144,13739,33,1449,111,3225,33,908,0,10514,0,541,111,8234.831,17.82,1295.567,104.007,1269,0,12470,33,0,0,1449,111,59676,10104,1210,26060,0.029861250754071988,0.17428614518399357,0.20414739593806555,25.450767477712983,0.055298612507540715,0.1860044238890006,0.24130303639654133,0.055298612507540715,0.1860044238890006,Trinidad & Tobago,-1,TTO,11.643359970645259,14310.88867,1.229103,18.32908326338352,3.170000076,3.6300001149999996,Trinidad and Tobago,0.619,0,1,1,0,0,0,0,0,3569.324951171875,3498.42724609375,4540.549488878823,4303.002781404518,0.005096485341294866,26060,NA,NA,-1.0255913577959503,1991
1991,Argentina,15661,222,15266,222,395,0,4337,222,104,0,10929,0,291,0,9568.776,201.075,380.99,0,786,129,14480,93,68,0,327,0,30877,9469,274,30005,0.6512128768986625,0,0.6512128768986625,50.72060109466593,0.7189817663633126,0,0.7189817663633126,0.7189817663633126,0,Argentina,2,ARG,7.1412848786239005,236226.5625,33.079,21.386807611719988,5.440000057,1.3600001339999999,Argentina,0.62,0,0,1,0,0,0,0,0,8542.6943359375,8403.2255859375,8678.352247402954,8608.022038341831,0.003960520022169265,30005,NA,NA,0.2465060825839362,1991
1991,Bolivia,7032,0,6815,0,217,0,1015,0,59,0,5800,0,158,0,4097.997,0,203.549,0,609,0,6206,0,0,0,217,0,19960,3600,327,30010,0,0,0,35.23046092184369,0,0,0,0,0,Bolivia,2,BOL,2.439231446035508,17102.55664,7.011453,24.580353470936053,2.734999895,4.065000295999999,Bolivia,0.473,0,0,1,0,0,0,0,0,6400.35693359375,6565.14697265625,6913.280945468807,6831.878043762327,0.0013783062015273356,30010,NA,NA,0.2465060825839362,1991
1991,Brazil,27113,255,26373,77,740,178,6623,0,546,112,19750,77,194,66,16120.204999999998,51.385999999999996,693.614,166.786,1889,0,24484,77,71,0,669,178,67684,19156,549,30015,0.07592045387388452,0.24641865137994207,0.3223391052538266,40.05821168961645,0.11376396194078364,0.2629868211098635,0.37675078305064713,0.16547485373204893,0.2112759293185982,Brazil,1,BRA,6.818684473217391,1034039.938,151.648011,21.60591171243631,6.372000217,0.42799997399999956,Brazil,0.72,0,0,0,0,0,0,0,0,7694.30712890625,6794.435546875,8088.513875954437,7887.20029934829,0.0038886556324026116,30015,NA,NA,-0.17752639754269264,1991
1991,Chile,8921,72,8698,0,223,72,2631,0,223,0,6067,0,0,72,4931.066,0,213.748,67.464,135,0,8563,0,0,0,223,72,25257,6993,562,30020,0,0.26711010808884667,0.26711010808884667,35.320901136318646,0,0.28506948568713625,0.28506948568713625,0,0.28506948568713625,Chile,-1,CHL,8.719052810994796,117665.8672,13.495258,20.31521743958252,5.230000019,1.5700001719999994,Chile,0.76,0,0,1,0,0,0,0,0,8271.044921875,8080.88525390625,8338.666504545594,8267.963493681793,0.0024019539824726753,30020,NA,NA,-1.0255913577959503,1991
1991,Colombia,44483,1026,40537,202,3946,824,8049,147,635,409,32488,55,3311,415,24393.852999999996,139.665,3555.465,745.028,3568,0,36969,202,0,0,3946,824,119773,30963,4187,30025,0.116608083624857,0.6220333464136325,0.7386414300384895,37.139422073422224,0.16865236739498887,0.6879680729379744,0.8566204403329633,0.4642114666911575,0.3924089736418057,Colombia,2,COL,7.563151179514561,255319.4063,33.758337,21.100283990143332,10.11999989,-3.319999699000001,Colombia,0.385,0,0,1,0,0,0,0,0,4021.171142578125,3815.183837890625,4251.35938266964,4099.041340667908,0.012679912638753291,30025,NA,NA,0.2465060825839362,1991
1991,Ecuador,28842,53,27130,0,1712,53,3601,0,74,0,23529,0,1638,53,16284.334,0,1527.4199999999998,49.661,2993,0,24137,0,59,0,1653,53,84696,20889,2226,30030,0,0.058634410125625765,0.058634410125625765,34.05355624822896,0,0.062576745064702,0.062576745064702,0,0.062576745064702,Ecuador,0,ECU,6.273590114084779,65700.01563,10.472475,21.9761295031201,4.59800005,2.202000141,Ecuador,0.483,0,0,1,0,0,0,0,0,4584.07275390625,4354.5322265625,4833.328035610199,4744.201576475005,0.006505137807623015,30030,NA,NA,-0.6015588776693215,1991
1991,Guyana/British Guiana,29670,119,28204,119,1466,0,2097,0,49,0,26107,119,1417,0,16571.155000000002,92.22500000000001,1358.0939999999998,0,2244,0,25960,119,435,0,1031,0,85284,18568,1796,30040,0.10813868955489893,0,0.10813868955489893,34.78964401294498,0.13953379297406313,0,0.13953379297406313,0,0.13953379297406313,Guyana,0,GUY,3.0370836120536113,2261.029785,0.744474,24.174303574527396,11.82400036,-5.024000169,Guyana,0.219,0,1,1,0,0,0,0,0,4096.59130859375,4042.36083984375,5091.053963000393,4873.86744899443,0.005334994679088418,30040,NA,NA,-0.6015588776693215,1991
1991,Paraguay,1442,0,1442,0,0,0,948,0,0,0,494,0,0,0,904.597,0,0,0,80,0,1362,0,0,0,0,0,6210,1755,75,30045,0,0,0,23.22061191626409,0,0,0,0,0,Paraguay,0,PRY,4.912800766897883,21293.77344,4.334345,22.90035191940638,8.965000153,-2.1649999620000004,Paraguay,0.214,0,0,1,0,0,0,0,0,7537.5205078125,7414.78125,8069.482938404846,7994.920521521816,2.726403448432662e-4,30045,NA,NA,-0.6015588776693215,1991
1991,Peru,39592,704,36774,299,2818,405,7599,133,1829,49,29175,166,989,356,21563.539000000004,269.075,2660.052,355.633,878,166,35896,133,907,0,1911,405,115591,23806,3046,30050,0.23278196399373652,0.30766495661426924,0.5404469206080058,34.251801610852056,0.25867065775017084,0.3503732989592615,0.6090439567094323,0.1574517047174953,0.4515922519919371,Peru,1,PER,3.7813339608277596,85164.63281,22.522378,23.668822798176585,5.495999813,1.3040003779999996,Peru,0.397,0,0,1,0,0,0,0,0,5890.552734375,5672.587890625,5913.182225080299,5822.984926173885,0.006465938633581946,30050,NA,NA,-0.17752639754269264,1991
1991,Uruguay,2010,0,2010,0,0,0,147,0,0,0,1863,0,0,0,1307.335,0,0,0,240,0,1770,0,0,0,0,0,6281,1764,0,30060,0,0,0,32.001273682534624,0,0,0,0,0,Uruguay,2,URY,10.066743880242425,31525.61914,3.13166,19.39989112621712,8.869000435,-2.0690002440000006,Uruguay,0.77,0,0,1,0,0,0,0,0,8617.353515625,8487.634765625,8948.568355216217,8890.464387387032,8.776408487496481e-4,30060,NA,NA,0.2465060825839362,1991
1991,Venezuela,6787,0,6380,0,407,0,2765,0,160,0,3615,0,247,0,3955.7070000000003,0,387.974,0,291,0,6089,0,105,0,302,0,30716,6405,520,30065,0,0,0,22.095976038546684,0,0,0,0,0,Venezuela,1,VEN,9.095600079357824,182788.0625,20.096317,20.059473648721788,9.449999809,-2.649999618,Venezuela,0.626,0,0,1,0,0,0,0,0,3428.630126953125,3303.033203125,4204.499198946762,3996.404839759092,0.001980434162960122,30065,NA,NA,-0.17752639754269264,1991
1991,Denmark,1637,0,1637,0,0,0,1082,0,0,0,555,0,0,0,1115.267,0,0,0,129,0,1508,0,0,0,0,0,2210,743,0,40000,0,0,0,74.07239819004525,0,0,0,0,0,Denmark,4,DNK,28.139884475144857,145058.5156,5.154908,7.124955475792566,9.098999977,-2.2989997860000004,Denmark,0.878,0,0,0,0,0,0,0,0,6191.892578125,6519.39111328125,7410.588012426758,7239.713006985257,0.0014407882495030575,40000,NA,NA,1.0945710428371938,1991
1991,Finland,2037,0,1945,0,92,0,1096,0,92,0,849,0,0,0,1138.5230000000001,0,86.20400000000001,0,133,0,1812,0,0,0,92,0,3802,1297,205,40100,0,0,0,53.577064702788,0,0,0,0,0,Finland,0,FIN,24.691531452195356,123929.8828,5.019125,9.467011701957869,6.502999783,0.2970004079999997,Finland,0.822,0,0,0,0,0,0,0,0,6625.92333984375,6943.181640625,7667.730031098175,7544.282294922337,9.23445332051689e-4,40100,NA,NA,-0.6015588776693215,1991
1991,Iceland,115,0,115,0,0,0,76,0,0,0,39,0,0,0,71.26500000000001,0,0,0,0,0,115,0,0,0,0,0,236,32,0,40200,0,0,0,48.728813559322035,0,0,0,0,0,Iceland,1,ISL,33.98863872542931,8756.289063,0.257624,3.1525920849141604,2.548000097,4.252000094,Iceland,0.791,0,0,0,0,0,0,0,0,4201.93603515625,4518.6298828125,5454.922063697814,5240.547275006113,2.123117195357677e-4,40200,NA,NA,-0.17752639754269264,1991
1991,Norway,2098,95,1830,0,268,95,1438,0,91,95,392,0,177,0,1083.118,0,261.568,89.015,88,0,1742,0,0,0,268,95,2949,878,95,40400,0,3.018480840963038,3.018480840963038,71.14276025771447,0,3.221430993557138,3.221430993557138,3.221430993557138,0,Norway,4,NOR,28.958000604758762,123635.3438,4.269471,6.569306456583501,5.407000065,1.3930001259999996,Norway,0.852,0,0,0,0,0,0,0,0,5916.70263671875,6239.5498046875,7056.673546475982,6894.931959465325,0.0017185123651811231,40400,NA,NA,1.0945710428371938,1991
1991,Sweden,3513,45,3078,0,435,45,2288,0,269,45,790,0,166,0,1722.799,0,410.13,43.92,0,0,3078,0,0,0,435,45,6669,2221,110,40500,0,0.6585695006747638,0.6585695006747638,52.67656320287899,0,0.6747638326585695,0.6747638326585695,0.6747638326585695,0,Sweden,3,SWE,29.75420854184693,256634.125,8.625137,6.028537067843664,3.243000031,3.55700016,Sweden,0.878,0,0,0,0,0,0,0,0,6322.85302734375,6644.2529296875,7440.510559823227,7290.072777928878,0.0022151232835063415,40500,NA,NA,0.670538562710565,1991
