bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
"Samoa, 1940-1950",Florida,2010,123,0,123,10010,1987.3104357479879
"Samoa, 1940-1950",Florida,2011,40,0,40,10010,1985.5930656934306
"Samoa, 1940-1950",Florida,2013,170,0,213,10010,1988.0581167238843
"Samoa, 1940-1950",Florida,2018,129,0,305,10010,1990.1904521768365
"Samoa, 1940-1950",Florida,2019,110,0,290,10010,1988.8863432969392
"Samoa, 1940-1950",Georgia,2008,69,0,69,10010,1984.4574853290048
"Samoa, 1940-1950",Georgia,2011,66,0,66,10010,1985.5930656934306
"Samoa, 1940-1950",Georgia,2014,19,0,89,10010,1989.3461109043542
"Samoa, 1940-1950",Georgia,2017,21,0,509,10010,1990.6920281626165
"Samoa, 1940-1950",Louisiana,2011,240,0,240,10010,1985.5930656934306
"Samoa, 1940-1950",North Carolina,2012,155,0,155,10010,1984.8428713858425
"Samoa, 1940-1950",North Carolina,2013,86,0,86,10010,1988.0581167238843
"Samoa, 1940-1950",North Carolina,2018,278,0,714,10010,1990.1904521768365
"Samoa, 1940-1950",Texas,2008,591,0,1000,10010,1984.4574853290048
"Samoa, 1940-1950",Texas,2009,68,0,68,10010,1983.2596861547008
"Samoa, 1940-1950",Texas,2010,52,0,52,10010,1987.3104357479879
"Samoa, 1940-1950",Texas,2013,58,0,555,10010,1988.0581167238843
"Samoa, 1940-1950",Texas,2015,389,0,499,10010,1986.9757033248081
"Samoa, 1940-1950",Texas,2016,486,0,486,10010,1986.8374463519312
"Samoa, 1940-1950",Texas,2018,133,0,205,10010,1990.1904521768365
"Samoa, 1940-1950",Texas,2019,445,0,548,10010,1988.8863432969392
"Samoa, 1940-1950",Kentucky,2017,270,0,270,10010,1990.6920281626165
"Samoa, 1940-1950",Kentucky,2019,136,0,136,10010,1988.8863432969392
"Samoa, 1940-1950",Maryland,2012,0,77,77,10010,1984.8428713858425
"Samoa, 1940-1950",Oklahoma,2011,70,0,70,10010,1985.5930656934306
"Samoa, 1940-1950",Tennessee,2008,220,0,531,10010,1984.4574853290048
"Samoa, 1940-1950",Tennessee,2009,150,0,150,10010,1983.2596861547008
"Samoa, 1940-1950",Tennessee,2014,213,0,213,10010,1989.3461109043542
"Samoa, 1940-1950",West Virginia,2017,130,0,130,10010,1990.6920281626165
"Samoa, 1940-1950",Arizona,2008,261,0,533,10010,1984.4574853290048
"Samoa, 1940-1950",Arizona,2011,75,0,75,10010,1985.5930656934306
"Samoa, 1940-1950",Arizona,2012,215,0,215,10010,1984.8428713858425
"Samoa, 1940-1950",Arizona,2013,29,0,29,10010,1988.0581167238843
"Samoa, 1940-1950",Arizona,2014,43,0,201,10010,1989.3461109043542
"Samoa, 1940-1950",Arizona,2015,46,0,181,10010,1986.9757033248081
"Samoa, 1940-1950",Arizona,2016,50,0,328,10010,1986.8374463519312
"Samoa, 1940-1950",Arizona,2017,102,0,366,10010,1990.6920281626165
"Samoa, 1940-1950",Arizona,2018,331,0,331,10010,1990.1904521768365
"Samoa, 1940-1950",Arizona,2019,288,0,545,10010,1988.8863432969392
"Samoa, 1940-1950",Colorado,2008,124,0,124,10010,1984.4574853290048
"Samoa, 1940-1950",Colorado,2011,60,0,60,10010,1985.5930656934306
"Samoa, 1940-1950",Colorado,2012,94,0,94,10010,1984.8428713858425
"Samoa, 1940-1950",Colorado,2017,97,0,97,10010,1990.6920281626165
"Samoa, 1940-1950",Idaho,2010,109,0,109,10010,1987.3104357479879
"Samoa, 1940-1950",Idaho,2012,8,0,8,10010,1984.8428713858425
