Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Russian Federation,RUS,Total,TOT,United States,USA,51871,39825,18215,19930,22327
Rwanda,RWA,Total,TOT,United States,USA,19,42,152,457,1130
Saint Helena,SHN,Total,TOT,United States,USA,18,41,459,139,1095
Saint Pierre and Miquelon,SPM,Total,TOT,United States,USA,0,0,0,0,0
Samoa,WSM,Total,TOT,United States,USA,805,647,15272,12955,17467
San Marino,SMR,Total,TOT,United States,USA,481,3,1354,397,5
Sao Tome and Principe,STP,Total,TOT,United States,USA,2,5,0,72,136
Saudi Arabia,SAU,Total,TOT,United States,USA,1011,814,18993,18847,27946
Senegal,SEN,Total,TOT,United States,USA,116,344,948,2786,10262
Serbia,SRB,Total,TOT,United States,USA,..,..,..,..,..
Serbia and Montenegro,SCG,Total,TOT,United States,USA,74605,78381,72483,64402,64520
Seychelles,SYC,Total,TOT,United States,USA,43,97,646,748,2572
Sierra Leone,SLE,Total,TOT,United States,USA,334,801,2486,8260,22044
Singapore,SGP,Total,TOT,United States,USA,370,287,6709,15341,24386
Slovak Republic,SVK,Total,TOT,United States,USA,43844,35150,1,0,16575
Slovenia,SVN,Total,TOT,United States,USA,3888,4085,3777,3356,2202
Solomon Islands,SLB,Total,TOT,United States,USA,3,9,2,56,360
Somalia,SOM,Total,TOT,United States,USA,124,1014,1515,2477,36762
South Africa,ZAF,Total,TOT,United States,USA,5724,12349,23096,42299,68041
Spain,ESP,Total,TOT,United States,USA,47232,68175,97039,110958,119977
Sri Lanka,LKA,Total,TOT,United States,USA,343,266,6209,14865,26040
St. Kitts and Nevis,KNA,Total,TOT,United States,USA,2311,54,2224,8124,11101
St. Lucia,LCA,Total,TOT,United States,USA,2679,63,1818,8099,14151
St. Vincent and the Grenadines,VCT,Total,TOT,United States,USA,4252,99,4106,13060,22249
Sudan,SDN,Total,TOT,United States,USA,302,692,3430,6309,18652
Suriname,SUR,Total,TOT,United States,USA,7,75,1598,3248,48
Swaziland,SWZ,Total,TOT,United States,USA,46,104,1043,461,2759
Sweden,SWE,Total,TOT,United States,USA,223726,150445,86323,61169,55584
Switzerland,CHE,Total,TOT,United States,USA,64313,58898,49072,45950,51605
Syrian Arab Republic,SYR,Total,TOT,United States,USA,17521,19371,24145,40501,55753
"Taiwan, China",TWN,Total,TOT,United States,USA,4914,3743,87355,271828,337316
Tajikistan,TJK,Total,TOT,United States,USA,4527,3907,6335,1744,1927
Tanzania,TZA,Total,TOT,United States,USA,380,579,4480,7798,11818
Thailand,THA,Total,TOT,United States,USA,3672,2886,67362,127144,186520
Timor-Leste,TLS,Total,TOT,United States,USA,13,11,258,0,19
Togo,TGO,Total,TOT,United States,USA,51,115,877,787,3064
Tokelau,TKL,Total,TOT,United States,USA,2,6,1,38,246
Tonga,TON,Total,TOT,United States,USA,699,597,7489,11374,16694
Trinidad and Tobago,TTO,Total,TOT,United States,USA,42888,25338,75872,126874,207679
Tunisia,TUN,Total,TOT,United States,USA,284,636,4349,4844,16956
Turkey,TUR,Total,TOT,United States,USA,54645,61669,64788,68124,93670
Turkmenistan,TKM,Total,TOT,United States,USA,403,344,463,155,172
Turks and Caicos Islands,TCA,Total,TOT,United States,USA,111,3,415,615,314
Tuvalu,TUV,Total,TOT,United States,USA,4,12,3,74,479
Uganda,UGA,Total,TOT,United States,USA,434,630,5008,9015,12270
Ukraine,UKR,Total,TOT,United States,USA,381955,293268,190645,146724,444101
United Arab Emirates,ARE,Total,TOT,United States,USA,43,32,757,2308,0
United Kingdom,GBR,Total,TOT,United States,USA,870668,812912,797768,809113,833858
United States,USA,Total,TOT,United States,USA,0,0,0,0,0
Uruguay,URY,Total,TOT,United States,USA,1283,6579,15685,24694,25507
Uzbekistan,UZB,Total,TOT,United States,USA,24536,20164,8716,9447,33632
Vanuatu,VUT,Total,TOT,United States,USA,5,12,3,76,492
"Venezuela, RB",VEN,Total,TOT,United States,USA,7287,14645,41821,54323,118195
Vietnam,VNM,Total,TOT,United States,USA,14419,11234,262190,583889,1028454
Virgin Islands (U.S.),VIR,Total,TOT,United States,USA,14977,50288,45969,8933,78966
"Virgin Islands, British",VGB,Total,TOT,United States,USA,356,8,1138,1971,1008
Wallis and Futuna,WLF,Total,TOT,United States,USA,0,0,0,0,0
West Bank and Gaza,PSE,Total,TOT,United States,USA,31,0,11,21189,0
"Yemen, Rep.",YEM,Total,TOT,United States,USA,184,145,3385,6218,19762
Zambia,ZMB,Total,TOT,United States,USA,181,405,1952,3886,10804
Zimbabwe,ZWE,Total,TOT,United States,USA,331,552,4795,5923,12203
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: Global Bilateral Migration,,,,,,,,,,
Last Updated: 06/28/2011,,,,,,,,,,
