GeoFips,GeoName,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
13000,Georgia,343,303,254,197,202,241,267,300,312,288,308,338,432,592,749,852,899,859,896,997,983,1087,1240,1322,1369,1351,1475,1552,1580,1631,1709,1749,1799,1901,2024,2148,2331,2545,2750,2986,3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8602,9600,10242,11064,12316,13196,14109,14888,15959,16942,17835,18322,19360,20087,21090,22235,23475,24404,26159,27275,28861,29751,30111,30803,31960,33331,34687,35523,35175,34042,34521,36577,37254,37552,39802,41804,42896,44894,46957,48236
15000,Hawaii,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1580,1839,2056,2114,2110,2105,2130,2161,2121,2290,2516,2661,2750,2949,3125,3412,3674,3915,4338,4903,5538,5791,6170,6643,7412,7907,8367,8828,9640,10571,11867,12711,13249,14262,15052,15824,16599,17435,18964,20897,22433,23253,24542,25133,25400,25788,25665,26334,26769,27809,29404,30347,31425,32603,34531,36594,38711,40605,42080,41352,41921,43532,44778,44961,47257,49489,51170,53433,55214,57015
16000,Idaho,499,488,366,268,228,389,394,466,421,421,431,459,594,919,1040,1110,1144,1203,1273,1352,1297,1352,1532,1693,1596,1612,1651,1792,1857,1882,1959,1961,2035,2150,2230,2316,2615,2638,2808,2971,3382,3691,3918,4329,4885,5566,5850,6343,6726,7497,8009,8856,9600,9961,10795,11399,12004,12297,12918,13966,15232,16152,16509,17640,18688,19368,20252,21058,21506,22816,23788,25235,25805,26247,26700,28197,29297,31431,32638,32722,31186,31957,33514,35190,36208,37905,39783,40567,42268,44554,45968
17000,Illinois,951,810,673,489,441,508,576,654,734,652,710,758,901,1049,1278,1405,1488,1550,1651,1817,1690,1842,2041,2106,2223,2193,2288,2473,2542,2511,2639,2698,2792,2907,2989,3142,3373,3608,3801,4055,4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10117,10950,12136,12869,13412,14784,15545,16370,17310,18669,19888,21025,21253,22724,23317,24349,25633,27066,28422,29934,31024,33169,34230,34522,35039,36334,37793,40214,42381,43267,41042,42093,44140,46050,47124,49461,51753,52417,54252,57145,58764
18000,Indiana,605,512,435,308,294,357,419,481,546,472,518,552,726,919,1150,1209,1265,1211,1316,1448,1357,1525,1719,1786,1952,1810,1908,2011,2046,2023,2141,2223,2264,2421,2509,2639,2877,3058,3170,3419,3741,3849,4151,4503,5136,5472,5907,6540,7197,7968,8732,9365,10292,10686,11243,12460,13154,13868,14664,15646,16942,17768,18121,19411,20232,21297,22047,23089,24096,25813,26693,28233,28697,28983,29476,30691,31487,33071,33986,35228,34102,35454,37650,39333,39646,41098,42650,43672,45244,47321,48678
19000,Iowa,571,501,396,293,252,271,418,391,513,451,468,494,603,829,1024,1004,1096,1238,1211,1621,1362,1539,1647,1743,1676,1815,1696,1784,1969,2017,2053,2085,2207,2307,2455,2571,2851,3082,3105,3335,3698,3923,4082,4559,5466,5657,6293,6640,7300,8406,9016,9607,10894,11268,11548,12924,13505,14141,14954,15446,16803,17628,17924,19086,19053,20677,21388,23209,24197,25260,25819,27463,28215,28848,29385,31660,32574,34392,36640,38537,37136,38105,40948,42905,43474,44801,46298,46547,47662,50175,51865
20000,Kansas,526,460,394,267,251,288,360,387,427,383,382,425,556,860,1062,1182,1179,1142,1304,1350,1314,1481,1622,1864,1779,1839,1800,1871,1966,2144,2149,2211,2275,2351,2420,2558,2731,2933,3075,3321,3665,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10075,11342,12213,12643,13827,14524,15193,15805,16533,17433,18438,18934,20115,20853,21599,22349,23688,24958,26238,26936,28244,29078,29202,29925,30664,32312,35447,37811,40791,39088,39563,42716,45120,45962,46881,47343,47390,48883,51261,53426
21000,Kentucky,388,322,287,209,204,232,264,293,339,296,305,322,401,551,717,778,815,835,870,1001,940,998,1172,1256,1327,1311,1368,1452,1508,1561,1621,1651,1750,1844,1928,1990,2150,2345,2518,2733,3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8152,9056,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22469,23255,24894,25609,26057,26624,27989,29110,30543,31615,32757,32157,33141,34624,35754,35921,37585,39199,39754,40904,42338,43770
22000,Louisiana,409,353,315,238,226,263,289,328,352,347,359,365,465,617,811,896,908,845,890,1023,1082,1132,1234,1309,1374,1364,1419,1532,1650,1669,1716,1715,1770,1841,1944,2036,2174,2369,2576,2805,2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8849,10059,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22283,22731,23943,25561,26171,26793,27744,29699,33385,35966,37891,36457,37649,38706,40554,40912,42686,42900,42528,43932,46207,47460
23000,Maine,600,574,492,380,373,418,435,509,514,476,500,532,641,873,1126,1123,1101,1148,1182,1270,1214,1226,1360,1490,1505,1508,1644,1733,1793,1866,1924,2002,1987,2067,2137,2309,2482,2632,2750,2958,3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7636,8567,9401,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24794,25892,27584,28885,29641,30837,32256,32946,34514,35686,37054,37055,37910,39468,40287,40170,41826,43622,44832,46565,48792,50634
24000,Maryland,775,721,646,522,475,532,558,627,674,644,673,723,896,1157,1325,1359,1349,1352,1385,1548,1541,1702,1895,2039,2115,2032,2141,2281,2377,2337,2402,2486,2593,2727,2815,2974,3144,3377,3615,3932,4456,4867,5252,5679,6221,6751,7265,7887,8505,9407,10311,11473,12680,13685,14557,15959,17109,18174,19276,20769,22127,23104,23605,24503,25239,26161,27070,28119,29432,31486,33124,35681,37157,38170,39524,41862,43841,45932,47586,49428,48755,50007,52433,53547,53057,54696,57036,59011,60758,62708,64640
25000,Massachusetts,911,842,766,622,568,618,653,725,742,683,736,793,921,1102,1296,1330,1382,1422,1458,1532,1498,1685,1857,1944,1994,1973,2116,2241,2350,2362,2468,2548,2647,2773,2845,2980,3148,3369,3622,3938,4255,4552,4834,5203,5632,6090,6560,7078,7712,8522,9481,10684,11873,13013,14044,15739,16893,18152,19552,21358,22477,23118,23486,24628,25471,26607,27964,29545,31180,32914,34889,38555,39872,39645,40479,42647,44609,47974,50238,51916,50942,53062,55302,57333,57377,59963,63618,65725,68442,71801,74187
26000,Michigan,792,658,540,395,348,454,532,621,687,574,628,683,834,1058,1372,1403,1342,1338,1474,1561,1523,1717,1896,1984,2198,2069,2229,2270,2304,2233,2334,2411,2402,2561,2692,2904,3156,3379,3475,3813,4107,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10230,10995,11499,12332,13612,14720,15562,16061,17089,18332,19051,19298,20280,21219,22687,23801,24821,25990,27432,28695,30409,30796,30671,31327,32165,32877,33729,34792,35700,34030,35391,37509,39059,39362,41150,43477,44637,45948,47777,49228
27000,Minnesota,594,547,457,361,310,359,449,474,538,493,517,524,616,799,955,1012,1119,1193,1271,1451,1335,1447,1595,1650,1731,1748,1818,1864,1958,2044,2090,2182,2263,2356,2486,2566,2808,3023,3211,3493,3829,4117,4353,4714,5500,5903,6340,6801,7612,8487,9360,10282,11321,12070,12696,14351,15143,15937,16878,17556,18992,19935,20322,21581,21947,23242,24320,25932,27087,29187,30318,32447,33454,33932,35263,37205,38111,39754,41720,43104,41015,42606,45349,47859,47943,50258,52355,53083,54960,57371,58834
28000,Mississippi,277,197,169,122,127,167,174,222,220,196,201,212,316,457,553,642,640,618,669,797,711,780,866,921,955,946,1069,1077,1088,1180,1275,1267,1359,1397,1534,1590,1722,1879,2048,2250,2496,2736,2974,3327,3736,4056,4360,4887,5375,5917,6633,7166,8008,8395,8744,9514,9976,10326,10942,11744,12717,13356,13964,14888,15667,16737,17488,18386,19221,20180,20684,21640,22781,23136,23989,25192,26703,27840,29368,30479,29855,30902,32160,33308,33853,34547,35206,35672,36536,37852,38914
29000,Missouri,619,560,489,365,334,368,421,467,508,476,504,520,646,819,980,1083,1147,1200,1230,1378,1332,1438,1574,1682,1763,1756,1849,1937,1980,2109,2196,2226,2289,2407,2505,2616,2828,2993,3174,3492,3645,3945,4222,4562,5045,5386,5883,6409,7070,7828,8695,9370,10445,11174,11885,13103,13948,14616,15296,16162,17277,17920,18559,19578,20265,21296,22236,23321,24507,25564,26416,28001,28716,29193,30082,31456,32387,34024,35397,37054,36182,36823,38339,40131,40323,41775,43153,44318,45342,47109,48656
30000,Montana,592,501,387,334,299,365,475,478,514,515,530,566,708,901,1155,1185,1212,1309,1480,1638,1433,1678,1834,1855,1842,1807,1934,1971,2034,2124,2081,2137,2090,2437,2406,2447,2629,2814,2895,3040,3387,3735,3920,4492,5149,5521,5978,6337,6739,7768,8298,9142,10303,10741,11151,11698,11843,12443,12916,13356,14726,15469,16298,16971,17950,18095,18728,19411,20159,21494,21830,23094,23985,24526,26077,27922,29785,31912,33914,35253,34260,35896,38180,40319,40176,41901,43627,44024,46199,48194,49747
31000,Nebraska,584,510,409,303,273,264,405,395,414,402,399,440,548,823,1029,1101,1197,1187,1269,1545,1361,1583,1667,1797,1705,1793,1693,1718,1996,2108,2112,2216,2223,2386,2433,2491,2761,2995,3097,3282,3649,3897,4234,4645,5382,5570,6336,6597,7123,8208,8843,9386,10859,11646,12022,13354,14103,14609,15362,16371,17338,18487,18989,19984,20478,21617,22593,24371,24915,26454,27552,29020,30213,30532,32223,33499,34510,35869,38390,40225,39264,40920,45426,46562,46596,48953,50725,49615,50645,52890,54515
32000,Nevada,874,834,665,557,499,560,667,845,775,785,864,902,1001,1592,1550,1526,1658,1786,1791,1811,1868,2089,2315,2513,2574,2542,2657,2634,2719,2780,2932,3079,3153,3369,3350,3388,3480,3656,3857,4340,4747,5191,5501,5847,6381,6746,7331,7994,8815,10045,10945,11951,12991,13343,13892,14760,15561,16305,17075,18458,19653,20516,21228,22554,23360,24335,25379,26667,27534,29291,30292,31871,32340,32030,32996,35163,38103,39793,40201,38734,36078,37228,38551,39659,39285,41505,44314,45351,47650,50000,51161
33000,New Hampshire,688,648,560,430,420,480,504,542,570,537,566,586,720,871,1002,1082,1139,1168,1233,1312,1297,1373,1538,1612,1692,1746,1869,1951,2065,2071,2198,2271,2356,2464,2503,2635,2787,3031,3235,3513,3842,3997,4225,4557,5005,5406,5786,6418,7050,7932,8896,10039,11229,12219,13269,14717,15894,17081,18365,19696,20685,20682,21436,22337,22831,24088,25228,26339,27975,30293,31882,35380,36792,37077,37536,39484,40723,43248,44670,45694,44892,46785,48924,50995,50746,52669,54533,56513,58759,61471,63502
34000,New Jersey,921,851,741,593,529,578,631,715,753,704,757,830,969,1185,1454,1576,1609,1547,1589,1667,1639,1820,2024,2144,2262,2246,2322,2469,2575,2480,2611,2712,2777,2936,3008,3163,3344,3577,3810,4135,4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34660,35989,39257,40306,40626,41425,43208,44775,48015,50723,52005,50149,51420,53694,55587,56054,58670,61153,62842,64983,67845,70471
35000,New Mexico,405,333,287,208,211,246,293,343,362,338,356,377,476,656,803,908,971,947,1026,1156,1188,1260,1410,1506,1536,1557,1641,1725,1842,1952,2022,2004,2073,2124,2174,2260,2383,2517,2620,2854,3109,3420,3677,4039,4421,4858,5391,5846,6382,7148,7878,8647,9604,10282,10819,11626,12392,12665,13059,13689,14532,15314,16034,16800,17616,18291,19223,19826,20576,21389,21722,23237,24738,25381,26203,27453,28898,30552,31867,33443,32729,33542,35002,35729,35100,37207,38320,39025,39747,41670,43326
36000,New York,1156,1042,889,686,634,688,732,819,848,801,837,883,1012,1191,1416,1569,1681,1725,1751,1783,1738,1868,2020,2075,2160,2190,2310,2432,2542,2608,2750,2847,2936,3055,3160,3351,3531,3768,4044,4435,4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9831,11001,12277,13327,14286,15749,16815,17915,19064,20827,22461,23990,23868,25061,25581,26259,27576,28936,30443,32022,33673,36028,37194,37008,37459,39185,40905,44179,47520,48328,47277,48973,51496,53986,54501,56758,59243,61401,65814,68657,71717
37000,North Carolina,327,287,244,183,203,247,267,294,321,291,312,323,430,588,713,778,835,875,905,1008,978,1095,1217,1256,1304,1330,1404,1473,1462,1540,1619,1666,1729,1840,1921,2055,2194,2421,2588,2825,3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8348,9317,9872,10637,11863,12635,13477,14349,15522,16708,17485,17967,19236,20085,20951,21987,23040,24251,25454,26262,27540,27878,27896,28688,30590,32283,34324,36138,37687,35802,35682,36764,38969,38201,40069,41839,42816,44409,46216,47766
38000,North Dakota,377,308,195,178,151,184,271,238,324,282,316,352,521,658,959,1020,1037,1079,1467,1462,1231,1388,1480,1351,1372,1407,1544,1615,1662,1931,1757,1909,1730,2441,2249,2220,2584,2623,2714,2864,3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8445,8053,10462,11141,11573,12429,12912,13248,13814,12920,14671,16084,16340,17849,18009,19460,19404,21627,21196,23327,23793,25955,26544,27184,29529,29834,31546,32893,36283,40384,39643,43492,47987,55421,53821,56314,53762,51832,52736,55788,57232
39000,Ohio,772,664,563,403,387,457,519,597,651,565,620,664,828,1032,1273,1330,1361,1324,1411,1541,1456,1611,1841,1923,2031,1974,2098,2193,2256,2194,2331,2410,2426,2539,2630,2781,2970,3200,3325,3633,3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9924,10813,11349,12026,13286,14106,14771,15436,16508,17703,18683,18973,20056,20752,21816,22771,23762,25078,26454,27277,28671,29378,29773,30574,31690,32577,34156,35520,36596,35532,36575,39067,40632,41098,42755,44405,45226,46829,48747,50199
40000,Oklahoma,449,365,294,214,220,250,296,322,375,345,348,374,436,639,802,965,989,960,1031,1144,1180,1164,1319,1438,1518,1504,1560,1642,1711,1856,1919,1974,2006,2054,2112,2256,2424,2585,2784,3032,3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9629,11047,11907,11876,12761,13330,13491,13630,14405,15402,16235,16589,17399,17910,18537,19173,20126,21072,21992,22377,24096,25464,25853,26911,28862,31312,34355,35182,38568,35338,36541,39038,41467,43097,45542,44192,41887,43794,45843,47341
41000,Oregon,666,605,504,377,357,437,459,547,556,531,571,611,823,1132,1403,1402,1372,1390,1515,1676,1641,1695,1876,1961,1973,1929,2048,2146,2133,2182,2322,2366,2435,2542,2626,2773,2933,3107,3278,3524,3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9461,10234,10933,11260,12026,12970,13590,14243,14881,15969,17235,18159,18670,19546,20452,21475,22663,23974,25015,26063,26792,28561,29037,29019,29759,31238,32496,34909,36003,37067,35481,36122,37818,39602,40020,42493,45163,46586,48762,51500,53191
42000,Pennsylvania,776,717,605,455,423,487,524,608,643,570,609,659,786,965,1169,1272,1305,1305,1378,1437,1403,1552,1719,1797,1903,1835,1923,2071,2184,2175,2247,2305,2342,2452,2530,2684,2854,3066,3279,3546,3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27327,28451,30393,31551,32066,33043,34868,36301,38032,40219,41512,40390,42047,44205,46018,46412,48434,50407,51818,53306,56032,58032
44000,Rhode Island,881,795,718,584,569,609,655,721,742,683,732,767,958,1189,1246,1312,1318,1405,1488,1468,1414,1601,1779,1835,1930,1931,2040,2081,2110,2197,2317,2358,2457,2603,2703,2849,3049,3307,3546,3820,4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9898,10980,11812,12741,13911,14876,15811,16721,18305,19839,20316,20419,21329,22180,22728,23918,24657,25975,27552,28596,30515,31910,32958,34512,36207,37220,39236,41042,41755,40766,42944,44670,46282,46226,48169,49939,50655,52644,54431,56361
45000,South Carolina,267,239,203,156,172,207,228,256,271,248,275,314,415,580,675,753,772,791,803,926,885,943,1158,1238,1274,1210,1272,1306,1337,1368,1448,1493,1556,1658,1728,1845,2024,2251,2416,2656,2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7965,8845,9320,10033,11059,11719,12377,13126,14137,15190,16109,16495,17316,17991,18867,19765,20755,21728,22947,23789,25152,25747,26179,26786,27906,29171,30892,32264,32962,31727,32458,34073,35570,35731,37624,39446,40569,42227,43912,45438
46000,South Dakota,415,357,242,189,136,190,305,248,321,317,341,357,470,755,853,976,1083,1121,1254,1503,1121,1298,1520,1357,1483,1509,1391,1474,1737,1811,1621,1940,1924,2154,2081,2062,2350,2574,2662,2861,3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8269,9646,10151,10491,11864,12143,12711,13413,13962,15060,16475,17006,18156,18737,19962,20169,22157,22582,24328,25327,26832,27637,27552,29972,31904,33672,35177,38661,40909,39395,41163,44612,45179,45243,46957,48678,48724,49787,52633,53962
47000,Tennessee,373,321,273,194,201,242,263,303,332,298,310,339,441,570,745,879,926,880,896,970,959,1040,1140,1200,1300,1300,1351,1448,1507,1553,1640,1659,1733,1815,1902,2016,2182,2387,2532,2809,3032,3264,3538,3906,4384,4778,5138,5664,6174,6943,7620,8277,9159,9696,10313,11411,12132,12918,13787,14857,15847,16709,17318,18625,19482,20357,21469,22301,23267,25141,25815,27073,27537,28096,28977,30365,31370,32897,33998,34830,34260,35653,37616,39296,39421,40799,42626,43626,45233,47210,48684
48000,Texas,474,407,345,262,254,291,325,372,418,404,417,438,539,742,970,1068,1082,1061,1154,1221,1319,1392,1524,1606,1641,1681,1752,1837,1913,1934,2013,2020,2092,2147,2219,2354,2507,2713,2934,3203,3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9983,11413,12102,12575,13546,14353,14427,14653,15494,16417,17455,17897,18956,19624,20287,21246,22397,23919,25502,26337,28135,29339,29185,29772,30688,32745,35144,36646,39271,36711,38276,41245,43406,43796,46310,46553,45803,48394,51136,52813
49000,Utah,548,494,372,304,297,314,391,463,447,446,460,484,600,907,1164,1078,1153,1121,1196,1287,1295,1391,1600,1657,1667,1640,1738,1835,1950,1973,2054,2122,2187,2326,2377,2492,2599,2727,2849,3024,3254,3558,3855,4179,4520,4930,5341,5866,6412,7119,7748,8366,9167,9669,10116,10984,11607,12053,12511,13218,14050,15010,15656,16401,17115,17933,19019,20183,21288,22284,23078,24266,24930,25208,25739,26984,28832,31306,33123,33857,31833,32156,34198,36140,36729,38524,40899,42375,44178,47008,48939
50000,Vermont,630,572,471,363,337,381,415,470,485,458,492,519,650,783,947,963,1047,1096,1132,1220,1147,1189,1364,1410,1463,1491,1560,1697,1764,1780,1879,1975,2053,2139,2195,2340,2530,2808,2969,3215,3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7940,8790,9832,10600,11289,12335,13284,14182,15210,16328,17782,18233,18465,19627,20218,20977,21885,22883,23999,25667,27112,29109,30744,31241,32344,34113,34975,37099,39006,40904,40275,41444,43785,45354,45941,47803,49395,50420,51697,53531,55293
51000,Virginia,435,387,371,286,286,323,354,394,426,394,431,480,614,847,887,938,987,1050,1052,1202,1185,1327,1512,1615,1647,1677,1754,1829,1868,1895,2006,2050,2126,2248,2364,2559,2729,2923,3161,3459,3868,4157,4505,4922,5424,5924,6404,6969,7613,8514,9425,10567,11700,12535,13341,14642,15627,16577,17542,18870,20136,20840,21431,22398,23192,24098,25035,25973,27360,28992,30615,32693,33954,34455,36139,38164,40259,42494,44272,45437,44122,45495,47771,49586,48858,50761,52742,53792,55631,57964,59657
53000,Washington,740,657,534,402,376,442,491,570,601,583,618,667,885,1233,1507,1557,1452,1432,1531,1678,1656,1797,1955,2063,2168,2183,2222,2277,2371,2376,2480,2539,2640,2788,2841,2968,3190,3498,3689,3986,4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11130,12133,12769,13553,14373,15085,15917,16556,17613,19028,20222,21129,22237,22860,23600,24475,25898,27405,29531,31141,32909,33280,33478,34543,36636,37688,40359,43130,44558,41958,42676,44676,47739,48296,51502,53870,55802,58437,62209,64758
54000,West Virginia,459,407,354,257,259,313,338,391,419,371,390,409,500,617,748,829,900,931,1036,1105,1016,1051,1179,1244,1273,1223,1318,1478,1597,1587,1633,1660,1705,1800,1893,2019,2171,2318,2465,2622,2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8011,8726,9268,9537,10344,10890,11295,11728,12697,13618,14608,15182,16277,16780,17480,18037,18767,19587,20453,21057,22331,23749,24504,24759,25587,26839,28554,29513,31258,31361,32319,34127,35116,34945,36152,37061,37099,38927,41192,42315
55000,Wisconsin,670,585,469,362,334,380,461,518,551,508,515,548,673,872,1065,1116,1191,1214,1298,1436,1391,1515,1750,1814,1850,1786,1891,2007,2078,2089,2237,2270,2315,2423,2465,2619,2788,3016,3161,3428,3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10034,10920,11517,12114,13285,13960,14702,15445,16269,17612,18438,18936,20179,20986,22088,23015,24129,25429,27054,28020,29648,30911,31510,32172,33421,34434,36332,37778,38910,38070,38997,41174,43034,43186,44943,46859,47598,49264,51628,53227
