state,year,same_sex,imm_couple,n,n_unweighted,n_ar,n_unweighted_ar,post_2013,group_fe
Alabama,2018,TRUE,two,102,2,102,2,TRUE,Alabama_TRUE_two
Alabama,2019,FALSE,none,1348254,14136,1348254,14136,TRUE,Alabama_FALSE_none
Alabama,2019,FALSE,one,35137,346,35137,346,TRUE,Alabama_FALSE_one
Alabama,2019,FALSE,two,38779,303,38779,303,TRUE,Alabama_FALSE_two
Alabama,2019,TRUE,none,18396,180,18396,180,TRUE,Alabama_TRUE_none
Alabama,2019,TRUE,one,776,6,776,6,TRUE,Alabama_TRUE_one
Alabama,2019,TRUE,two,0,0,0,0,TRUE,Alabama_TRUE_two
Alaska,2008,FALSE,none,210618,2116,210618,2116,FALSE,Alaska_FALSE_none
Alaska,2008,FALSE,one,10881,109,10881,109,FALSE,Alaska_FALSE_one
Alaska,2008,FALSE,two,4944,40,4944,40,FALSE,Alaska_FALSE_two
Alaska,2008,TRUE,none,1386,12,1386,12,FALSE,Alaska_TRUE_none
Alaska,2008,TRUE,one,90,2,90,2,FALSE,Alaska_TRUE_one
Alaska,2008,TRUE,two,122,1,122,1,FALSE,Alaska_TRUE_two
Alaska,2009,FALSE,none,210207,2006,210207,2006,FALSE,Alaska_FALSE_none
Alaska,2009,FALSE,one,11829,111,11829,111,FALSE,Alaska_FALSE_one
Alaska,2009,FALSE,two,9065,63,9065,63,FALSE,Alaska_FALSE_two
Alaska,2009,TRUE,none,2109,18,2109,18,FALSE,Alaska_TRUE_none
Alaska,2009,TRUE,one,74,2,74,2,FALSE,Alaska_TRUE_one
Alaska,2009,TRUE,two,0,0,0,0,FALSE,Alaska_TRUE_two
Alaska,2010,FALSE,none,230668,2226,230668,2226,FALSE,Alaska_FALSE_none
Alaska,2010,FALSE,one,13010,120,13010,120,FALSE,Alaska_FALSE_one
Alaska,2010,FALSE,two,5210,50,5210,50,FALSE,Alaska_FALSE_two
Alaska,2010,TRUE,none,1771,17,1771,17,FALSE,Alaska_TRUE_none
Alaska,2010,TRUE,one,0,0,0,0,FALSE,Alaska_TRUE_one
Alaska,2010,TRUE,two,0,0,0,0,FALSE,Alaska_TRUE_two
Alaska,2011,FALSE,none,226892,2098,226892,2098,FALSE,Alaska_FALSE_none
Alaska,2011,FALSE,one,11031,77,11031,77,FALSE,Alaska_FALSE_one
Alaska,2011,FALSE,two,8094,58,8094,58,FALSE,Alaska_FALSE_two
Alaska,2011,TRUE,none,2649,16,2649,16,FALSE,Alaska_TRUE_none
Alaska,2011,TRUE,one,0,0,0,0,FALSE,Alaska_TRUE_one
Alaska,2011,TRUE,two,0,0,0,0,FALSE,Alaska_TRUE_two
Alaska,2012,FALSE,none,217915,1986,217915,1986,FALSE,Alaska_FALSE_none
Alaska,2012,FALSE,one,11087,100,11087,100,FALSE,Alaska_FALSE_one
Alaska,2012,FALSE,two,7976,56,7976,56,FALSE,Alaska_FALSE_two
Alaska,2012,TRUE,none,2736,20,2736,20,FALSE,Alaska_TRUE_none
Alaska,2012,TRUE,one,216,2,216,2,FALSE,Alaska_TRUE_one
Alaska,2012,TRUE,two,0,0,0,0,FALSE,Alaska_TRUE_two
Alaska,2013,FALSE,none,219898,1987,219898,1987,FALSE,Alaska_FALSE_none
Alaska,2013,FALSE,one,10456,81,10456,81,FALSE,Alaska_FALSE_one
Alaska,2013,FALSE,two,6191,42,6191,42,FALSE,Alaska_FALSE_two
Alaska,2013,TRUE,none,1468,10,1468,10,FALSE,Alaska_TRUE_none
Alaska,2013,TRUE,one,0,0,0,0,FALSE,Alaska_TRUE_one
Alaska,2013,TRUE,two,0,0,0,0,FALSE,Alaska_TRUE_two
Alaska,2014,FALSE,none,208593,1964,208593,1964,TRUE,Alaska_FALSE_none
Alaska,2014,FALSE,one,14584,83,14584,83,TRUE,Alaska_FALSE_one
Alaska,2014,FALSE,two,8705,61,8705,61,TRUE,Alaska_FALSE_two
Alaska,2014,TRUE,none,3338,22,3338,22,TRUE,Alaska_TRUE_none
Alaska,2014,TRUE,one,100,2,100,2,TRUE,Alaska_TRUE_one
Alaska,2014,TRUE,two,0,0,0,0,TRUE,Alaska_TRUE_two
