same_sex,origin_score,state_policy,fit.low,fit.high,fit
TRUE,-3,Neutral,0.16926900126125066,0.16926900126125066,0.16926900126125066
TRUE,-3,Progressive,0.6474747454273223,0.6474747454273223,0.6474747454273223
TRUE,-3,Repressive,0.183256253311427,0.183256253311427,0.183256253311427
TRUE,-1.5555555555555556,Neutral,0.16811506591548692,0.16811506591548692,0.16811506591548692
TRUE,-1.5555555555555556,Progressive,0.6563622764359143,0.6563622764359143,0.6563622764359143
TRUE,-1.5555555555555556,Repressive,0.17552265764859884,0.17552265764859884,0.17552265764859884
TRUE,-0.11111111111111116,Neutral,0.16679768761464261,0.16679768761464261,0.16679768761464261
TRUE,-0.11111111111111116,Progressive,0.6652606301342814,0.6652606301342814,0.6652606301342814
TRUE,-0.11111111111111116,Repressive,0.16794168225107603,0.16794168225107603,0.16794168225107603
TRUE,1.333333333333333,Neutral,0.16531315265270122,0.16531315265270122,0.16531315265270122
TRUE,1.333333333333333,Progressive,0.6741655675550879,0.6741655675550879,0.6741655675550879
TRUE,1.333333333333333,Repressive,0.16052127979221084,0.16052127979221084,0.16052127979221084
TRUE,2.7777777777777777,Neutral,0.16365901791285306,0.16365901791285306,0.16365901791285306
TRUE,2.7777777777777777,Progressive,0.6830721517539871,0.6830721517539871,0.6830721517539871
TRUE,2.7777777777777777,Repressive,0.15326883033315983,0.15326883033315983,0.15326883033315983
TRUE,4.222222222222222,Neutral,0.16183415361464554,0.16183415361464554,0.16183415361464554
TRUE,4.222222222222222,Progressive,0.6919747501571715,0.6919747501571715,0.6919747501571715
TRUE,4.222222222222222,Repressive,0.14619109622818305,0.14619109622818305,0.14619109622818305
TRUE,5.666666666666666,Neutral,0.15983876572882869,0.15983876572882869,0.15983876572882869
TRUE,5.666666666666666,Progressive,0.7008670486620603,0.7008670486620603,0.7008670486620603
TRUE,5.666666666666666,Repressive,0.13929418560911097,0.13929418560911097,0.13929418560911097
TRUE,7.111111111111111,Neutral,0.15767439795695878,0.15767439795695878,0.15767439795695878
TRUE,7.111111111111111,Progressive,0.7097420776678142,0.7097420776678142,0.7097420776678142
TRUE,7.111111111111111,Repressive,0.13258352437522708,0.13258352437522708,0.13258352437522708
