post_2013,origin_score,fit.low,fit.high,fit
2013 and before,-3,-0.03362177697537558,0.5894896009583267,0.3257413418063864
2013 and before,-2.7346938775510203,-0.01175829973728092,0.5804739841896851,0.3298393595032662
2013 and before,-2.4693877551020407,0.010105177500813734,0.5722821279630587,0.333937377200146
2013 and before,-2.204081632653061,0.03196865473890838,0.5633032084226937,0.3380353948970258
2013 and before,-1.9387755102040816,0.05383213197700301,0.5525760013188731,0.3421334125939055
2013 and before,-1.673469387755102,0.07569560921509767,0.542732942065967,0.3462314302907853
2013 and before,-1.4081632653061225,0.0975590864531923,0.5349811140274433,0.3503294479876651
2013 and before,-1.1428571428571428,0.11942256369128695,0.5276052703745968,0.35442746568454486
2013 and before,-0.8775510204081631,0.1412860409293816,0.5202294267217502,0.35852548338142465
2013 and before,-0.6122448979591835,0.16314951816747628,0.5129798981145973,0.36262350107830443
2013 and before,-0.3469387755102038,0.18633563750642668,0.5060015704911491,0.36672151877518416
2013 and before,-0.08163265306122414,0.21047264101719793,0.4995016473075252,0.37081953647206395
2013 and before,0.18367346938775508,0.23460964452796915,0.49279711749887245,0.37491755416894373
2013 and before,0.44897959183673475,0.2587466480387404,0.4814385052635588,0.3790155718658235
2013 and before,0.7142857142857144,0.28288365154951167,0.47410876525503387,0.3831135895627033
2013 and before,0.9795918367346941,0.30203109533323236,0.4665582462998944,0.38721160725958303
2013 and before,1.2448979591836737,0.3178605374951572,0.45869035928362306,0.3913096249564628
2013 and before,1.5102040816326534,0.33299509933953847,0.457479318442088,0.3954076426533426
2013 and before,1.775510204081633,0.34812488540167763,0.4540068143923624,0.3995056603502224
2013 and before,2.0408163265306127,0.3571666369517688,0.4524793316339553,0.4036036780471022
2013 and before,2.3061224489795924,0.3620116705266998,0.457379590481722,0.40770169574398196
2013 and before,2.571428571428572,0.356048202010933,0.46599104865026797,0.4117997134408617
2013 and before,2.8367346938775517,0.35152000896187563,0.4815938794782787,0.4158977311377415
2013 and before,3.1020408163265314,0.34199815319066035,0.5016074775350926,0.41999574883462126
2013 and before,3.36734693877551,0.3307325958754156,0.5168373510772495,0.42409376653150105
2013 and before,3.63265306122449,0.3198078089347084,0.5391669795957069,0.42819178422838083
2013 and before,3.8979591836734695,0.314730519691766,0.5637859107733572,0.43228980192526056
2013 and before,4.163265306122449,0.3062411335832639,0.5854068291103034,0.43638781962214035
2013 and before,4.428571428571429,0.2959724516884505,0.6041826685502857,0.44048583731902013
2013 and before,4.6938775510204085,0.2857037697936372,0.6236698091219816,0.4445838550158999
2013 and before,4.959183673469388,0.2754350878988238,0.645299160047723,0.4486818727127797
2013 and before,5.224489795918368,0.26516640600401054,0.6669285109734646,0.4527798904096595
2013 and before,5.4897959183673475,0.25489772410919714,0.688927673665203,0.4568779081065392
2013 and before,5.755102040816327,0.2446290422143838,0.7116338108038582,0.460975925803419
2013 and before,6.020408163265307,0.23447002689365293,0.7343399479425133,0.4650739435002988
2013 and before,6.2857142857142865,0.22485162513423335,0.7570460850811686,0.4691719611971786
2013 and before,6.551020408163266,0.21484190262613795,0.7797522222198238,0.47326997889405836
2013 and before,6.816326530612246,0.2048321801180426,0.8024583593584789,0.4773679965909381
2013 and before,7.0816326530612255,0.19482245760994724,0.825164496497134,0.4814660142878179
2013 and before,7.346938775510205,0.18481273510185187,0.8478706336357892,0.48556403198469766
2013 and before,7.612244897959185,0.1748030125937565,0.868868994692545,0.48966204968157745
2013 and before,7.8775510204081645,0.16479329008566113,0.8894827978952143,0.49376006737845723
2013 and before,8.142857142857144,0.15478356757756576,0.9112856790242321,0.497858085075337
2013 and before,8.408163265306124,0.14471306499162895,0.9337050590279197,0.5019561027722168
2013 and before,8.673469387755103,0.13454936326248731,0.9561244390316073,0.5060541204690966
2013 and before,8.938775510204083,0.12438566153334572,0.978543819035295,0.5101521381659764
2013 and before,9.204081632653063,0.11422195980420412,1.0009631990389827,0.514250155862856
2013 and before,9.469387755102042,0.10405825807506248,1.0233825790426703,0.5183481735597358
2013 and before,9.73469387755102,0.09389455634592095,1.0458019590463576,0.5224461912566156
2013 and before,10,0.08372990627991808,1.0682213390500452,0.5265442089534954
Post-2013,-3,0.0244550835952298,0.44911799291810817,0.24994348617276443
Post-2013,-2.7346938775510203,0.05454409632777817,0.46845720351309095,0.27208812217188005
Post-2013,-2.4693877551020407,0.08562087732094471,0.4874407646464755,0.2942327581709957
Post-2013,-2.204081632653061,0.11736774853421394,0.5027093907881386,0.31637739417011135
Post-2013,-1.9387755102040816,0.14908716949406667,0.5179780169298016,0.338522030169227
Post-2013,-1.673469387755102,0.18287770641267395,0.5332466430714646,0.36066666616834264
Post-2013,-1.4081632653061225,0.22046208395885636,0.5473870995507433,0.38281130216745823
Post-2013,-1.1428571428571428,0.24913090214882497,0.5624989248732036,0.4049559381665739
Post-2013,-0.8775510204081631,0.28007704423784074,0.580231740578776,0.42710057416568953
Post-2013,-0.6122448979591835,0.3060817942257827,0.5979800937361232,0.4492452101648052
Post-2013,-0.3469387755102038,0.3335754840007425,0.6175704838283541,0.4713898461639208
