fit,se.fit,fit.low,fit.high,state_policy,origin_score
0.10382874196565166,0.5667617609215444,-1.0070243094405753,1.2146817933718785,5,-3
2.859034048917243,0.6107257251849767,1.6620116275546888,4.056056470279797,5,8
0.14343799237541757,0.5828233858634647,-0.9988958439169732,1.2857718286678084,6,-3
3.149807967366058,0.620570355048058,1.9334900714718644,4.366125863260251,6,8
0.06421949155588574,0.5553923739648065,-1.0243495614151348,1.1527885445269064,4,-3
2.5682601304684285,0.606860749063261,1.3788130623044368,3.75770719863242,4,8
0.02461024114611989,0.5490068172213108,-1.0514431206076493,1.1006636028998893,3,-3
2.277486212019614,0.6090892690051212,1.0836712447695764,3.4713011792696515,3,8
-0.05460825967341234,0.5517445791264333,-1.1360276347612215,1.0268111154143968,1,-3
1.6959383751219843,0.631392437302131,0.4584091980098075,2.933467552234161,1,8
0.18304724278518386,0.6032025409907132,-0.9992297375566139,1.3653242231269818,7,-3
3.440581885814873,0.6361170735319827,2.193792421692187,4.687371349937559,7,8
-0.0942175100831782,0.5607921892627659,-1.1933702010381992,1.004935180871843,0,-3
1.4051644566731698,0.6508558314126773,0.12948702710432225,2.6808418862420176,0,8
-0.014999009263646449,0.5477794104696899,-1.0886466537842387,1.0586486352569457,2,-3
1.986712293570799,0.6173452988347989,0.7767155078545931,3.1967090792870048,2,8
-0.13382676049294412,0.5746822420805113,-1.2602039549707464,0.9925504339848581,-1,-3
1.114390538224355,0.675267301294912,-0.20913337231367235,2.4379144487623825,-1,8
-0.17343601090271046,0.5930745990759323,-1.3358622250915377,0.9889902032861169,-2,-3
0.82361661977554,0.7041123877798225,-0.5564436602729123,2.2036768998239924,-2,8
