fit,se.fit,fit.low,fit.high,origin_score,state_policy
0.46105202680163077,0.5523377034088195,-0.6215298718796556,1.543633925482917,4,-2
2.256023833804077,0.5281773837673756,1.2207961616200207,3.291251505988133,4,7
0.5516931750451082,0.581318531193607,-0.5876911460943615,1.6910774961845778,5,-2
2.552163346806776,0.5463643489243132,1.4812892229151222,3.6230374706984296,5,7
0.7329754715320626,0.6582399962917246,-0.5571749211997176,2.0231258642638426,7,-2
3.144442372812174,0.6011246069104648,1.9662381432676632,4.322646602356685,7,7
0.27976973031467633,0.5186602088143181,-0.736804278961387,1.2963437395907396,2,-2
1.663744807798679,0.5134564516807296,0.657370162504449,2.6701194530929087,2,7
0.3704108785581533,0.5311333772600522,-0.670610540871549,1.4114322979878555,3,-2
1.9598843208013776,0.5170549848797918,0.9464565504369857,2.9733120911657696,3,7
0.18912858207119887,0.515552307637022,-0.8213539408973641,1.1996111050397618,1,-2
1.36760529479598,0.5175387520504338,0.35322934077712986,2.38198124881483,1,7
0.09848743382772145,0.5219769856490881,-0.9245874580444914,1.1215623256999343,0,-2
1.071465781793281,0.5291241382635142,0.03438247079679302,2.1085490927897688,0,7
0.007846285584243981,0.537592584695568,-1.0458351804190693,1.0615277515875574,-1,-2
0.7753262687905816,0.5477367152475029,-0.29823769309452397,1.8488902306756874,-1,7
0.6423343232885853,0.6169809986913368,-0.5669484341464349,1.8516170807236056,6,-2
2.848302859809475,0.5709411673241465,1.729258171854148,3.967347547764802,6,7
0.82361661977554,0.7041123877798225,-0.5564436602729123,2.2036768998239924,8,-2
3.440581885814873,0.6361170735319827,2.193792421692187,4.687371349937559,8,7
-0.08279486265923346,0.5616329963836865,-1.1835955355712588,1.018005810252792,-2,-2
0.4791867557878828,0.57269173774813,-0.6432890501984518,1.6016625617742175,-2,7
-0.17343601090271046,0.5930745990759323,-1.3358622250915377,0.9889902032861169,-3,-2
0.18304724278518386,0.6032025409907132,-0.9992297375566139,1.3653242231269818,-3,7
